c,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,a,b,c,x
1692.3,1827.9,1995.3,2295,2457.3,2613.9,2747.8,3066.2,3266.6,3436.8,3704.8,3879.5,4008.1,4202.9,4359.1,4525.5,NaN,NaN,4868.3,NaN,5071.2,5233.8,5418.8,5642.4,5773.6,5889.3,6103.8,6268.5,6384.2,6594.9,6751.5,6914.5,NaN,NaN,7364.8,7533.1,7651.2,7847.8,8006.6,8187.6,NaN,NaN,8541.1,NaN,8744.6,8907.2,9106.1,9334.4,9464.6,9579.7,9792.3,9937.2,10050,10254,10400,10513,10705,10863,11035,NaN,NaN,11373,NaN,11579,11739,11946,NaN,NaN,12340,12492,12613,12822,13023,13138,13327,NaN,13531,13694
1735.1,1903.1,2049.8,2379.3,2518.9,2683,2850.8,3135.5,3332.1,3547.8,3775.9,3950.9,4126.7,4308.3,4456,NaN,NaN,4788.8,NaN,5019.8,5182.5,5334.2,5598.7,5714.2,5847.8,6016.4,6178.2,6345,6506.7,6695.7,6850.8,NaN,NaN,7178.1,7438.3,7607.7,7775.4,7953.4,8106.3,NaN,NaN,8452.3,NaN,8691.5,8850.3,9008.3,9290.2,9407.1,9538.6,9703.4,9871.7,10012,10171,10324,10476,10632,10809,10968,NaN,NaN,11298,NaN,11521,11701,11842,NaN,NaN,12210,12409,12570,12733,12896,13097,13264,NaN,13475,13639,13798
