n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n
7262.6,7424.5,7599.2,7725.7,7999.1,8181.4,8307.2,8518.3,8666.9,8827.8,NaN,NaN,9162.1,NaN,9352.9,9505.8,9787.9,9935.4,10051,10242,10394,10553,NaN,NaN,10879,NaN,11075,11230,11399,11706,11846
7331,7497.9,7664.4,7838.2,8072.8,8250.3,8423.9,8616.9,8764.3,NaN,NaN,9084.9,NaN,9307.7,9456.3,9604.2,9864.2,10014,10174,10344,10493,NaN,NaN,10807,NaN,11028,11180,11329,11579,11780,11903
