-,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n
1972.1,2401.9,2555.8,2733.3,3001.4,3182.3,3304.3,3541.7,3694.2,3825.8,4020.1,4174,4330.1,NaN,NaN,4660.4,NaN,4858.3,5008.2,5179.2,5401
2041.1,2455.4,2614.4,2793.2,3074.8,3254.2,3415.4,3610.3,3765.1,3954.2,4117.3,4272.6,NaN,NaN,4589.4,NaN,4810.6,4962.2,5107.9,5361.4,5471.7
