c,n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x
1783.9,1974.3,2176.8,2336.4,2493,2620.6,2914.2,3058.8,3230.7,3366.7,3613.3,3776.1,3898.2,4091.3,4248.5,4405,NaN,NaN,4753.9,NaN,4951.9,5107.8,5278.5,5502.8,5629.8,5745.2,5947.8,6091.1,6204.8,6386.2,6541.4,6708.3,NaN,NaN,7046.6,NaN,7247.7,7404.2,7573.4,7796.3,7926.9,8039.9,8250.3,8391.3,8503.6,8689.3,8847.8,9010.1,NaN,NaN,9345.4,NaN,9545.3,9706.7,9874.8,10095,10222,10339,10523,NaN,10724,10886,11066,11288,11415,11531,11712,NaN,11912,12073,12241,NaN,NaN,12608,12748,12864,13053,NaN,13256,13418,13609,13835,13962,14075,14261,NaN,14462,14625,14815,15042,15165,15283,15474,NaN,15677,15844,16011,NaN,NaN,16367,16514,16628,16818,NaN,17025,17191
1827.4,2045.6,2263,2400.1,2560.7,2725.6,2984.4,3138.3,3302.7,3482.2,3737.2,3854.4,4017.8,4200.4,4347.8,NaN,NaN,4667.1,NaN,4902.2,5052.8,5207.8,5462.8,5576.4,5704.7,5873.7,6020.2,6166.3,6327.9,6508.1,6650.8,NaN,NaN,6969.8,NaN,7198.2,7370.4,7515.3,7760.2,7888.8,8006.2,8163.9,8326.2,8468.5,8639.5,8797.8,8948,NaN,NaN,9273.1,NaN,9497.7,9669.5,9815.9,10056,10167,10305,10464,NaN,10673,10836,11000,11249,11364,11500,11654,NaN,11864,12021,12184,NaN,NaN,12502,12680,12823,12986,NaN,13205,13378,13528,13793,13909,14043,14198,NaN,14412,14570,14737,14999,15115,15252,15405,NaN,15625,15782,15943,NaN,NaN,16271,16437,16596,16754,NaN,16969,17134,17294
