n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1163.8,1823.5,1984.1,2201,2377.2,2712.9,2894.3,3007.4,3256.2,3434.3,3555.4,3763.4,3911.4,4067.6,NaN,NaN,4398.7,NaN,4596,4750.1,4931.1,5144.9,5407.8,5565.2,5677.2,5870.1,6025.4,6193.8,NaN,NaN,6540.2,NaN,6737.3,6893.7,7072.8,7291.5,7415.8,7531.2,7742.6,7903,8018.5,8241,8388.8,8503.1,8687.9,8840.4,9004.2,NaN,NaN,9327.1,NaN,9525.9,9678.6
1201.8,1882.7,2041.3,2269.8,2412.8,2781.6,2962.9,3117.7,3358.8,3508.3,3670.3,3862.8,4007.7,NaN,NaN,4326.2,NaN,4544.5,4695.5,4848.3,5106.4,5218.5,5479.9,5646.5,5798.5,5975,6132.6,NaN,NaN,6471.2,NaN,6690.2,6854.5,6991.1,7251.7,7365.3,7494.7,7652.5,7815.4,7979.3,8139.6,8312.2,8466.8,8628,8791.9,8941.9,NaN,NaN,9258.7,NaN,9477.5,9624.7,9778.7
