n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,g,n,n,e,a
1819.9,1959.4,2105.2,2255.6,2379.1,2601.6,2784.4,2911.8,3133.4,3312.5,3429.2,3620,3771.4,3932.3,NaN,NaN,4258.4,NaN,4451.5,4606.4,4776.2,4991.1,5115.9,5230,5431.6,5576.8,5693.4,5885,6038.7,6210,NaN,NaN,6565.4,NaN,6761.2,6919.6,7095.6,7312.1,7439.7,7552.4,7752.9,7902.3,8019.1,8206.8,8362.2,8541.7,8760.7,8892.5,9005.3,9193.6
1863.8,2055.2,2173.6,2326,2484.1,2669.2,2857.9,3029.4,3204,3387.9,3551.2,3715,3869.3,NaN,NaN,4183.4,NaN,4405.4,4555.6,4706.1,4954.3,5063.2,5193.3,5356.7,5506.6,5653.5,5812.8,5983.8,6133.9,NaN,NaN,6471.4,NaN,6714.1,6859.9,7014.4,7274.2,7386,7516.3,7674.5,7827.9,7980.8,8141,8309.6,8455.8,8722.5,8833,8966.7,9125.8,9338.3
