n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x
1806.4,1979.7,2155.4,2312,2457.2,3375.7,3549.3,3675.4,3908.2,4091.7,4216.1,4404.8,4565.3,4721.2,NaN,NaN,5061.9,NaN,5262.1,5416.3,5591.7,6238.2,6396.2,6511.3,6719.4,6882,6995.3,7182.1,7339.7,7503.4,NaN,NaN,7835.5,NaN,8036.4,8193.3,8360.6,8583.1,8709.9,8821.8,9006.4,NaN,9207.4,9367.9,9541.6,9766.6,9898.2,10010,10198,NaN,10397,10553,10737,10962,11093,11206,11394,NaN,11595,11760,11947,NaN,NaN,12282,NaN,12485,12650,12846,NaN,NaN,13214,13361,13478,13668,NaN,13872,14033,14224,NaN,NaN,14567,NaN,14768,14929,15115,15341,15471,15589,15774,NaN,15983,16189,16312,16501,NaN,16706,16874,17088,NaN,NaN,17454,17614,17730,17931,18089,18266,18492,18622,18739,18935,NaN,19144,19310,19496,19730,19860,19975,20161,NaN,20366,20532,20727,NaN,NaN,21082,NaN,21286,21453
1862.6,2056.9,2217.7,2371.8,2552.3,3450.9,3620.8,3794.7,3978.6,4166.3,4340.6,4514.9,4664,NaN,NaN,4983.8,NaN,5210.4,5362.2,5526.6,5710.4,6317,6470,6636.8,6796.6,6958.2,7133.3,7303.6,7442.8,NaN,NaN,7773.5,NaN,7987.1,8139.6,8303,8543.9,8672.2,8785.7,8965.9,NaN,9156.8,9330,9481.1,9725.1,9852.6,9978.1,10149,NaN,10346,10517,10671,10923,11047,11175,11338,NaN,11545,11707,11872,NaN,NaN,12208,NaN,12434,12614,12764,NaN,NaN,13107,13286,13445,13603,NaN,13818,13982,14144,NaN,NaN,14486,NaN,14719,14878,15043,15298,15428,15554,15704,NaN,15925,16095,16280,16436,NaN,16654,16819,16990,NaN,NaN,17350,17526,17698,17853,18052,18195,18453,18578,18708,18865,NaN,19091,19255,19427,19685,19803,19941,20100,NaN,20314,20490,20642,NaN,NaN,20990,NaN,21235,21415,21575
