n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e
1855.5,1987.2,2136.4,2304.3,2449.1,2827.9,3002.1,3134.2,3377.5,3537.7,3662.8,3858.8,4012.5,4177.8,NaN,NaN,4508.5,NaN,4708,4867.2,5046,5261.1,5389.6,5506,5714.2,5861.4,5985.6,6176.3,6331.8,6503.1,NaN,NaN,6837.7,NaN,7035,7195.4,7369.6,7586.4,7713.8,7827,8007.8,NaN,8204.8,8364,8528.6,NaN,NaN,8884.2,9017.3,9129.3,9311.4,9467.1,9645.1,9866.6,9993.4,10110,10318,10463,10577,10754,NaN,10953,11114,11313,11531,11656,11771,11958,NaN,12154,12313,12482,12701,12830,12946,13128,NaN,13328,13493,13667,NaN,NaN,14014,14159,14275,14459,14616,14799,15025,15152,15264,15448,NaN,15648,15810,15998,16218,16345,16493,16727,16884,16998
1910.4,2061.4,2202.3,2366.1,2550.8,2899.1,3075,3246.3,3445.5,3616.2,3789.4,3957.5,4104.2,NaN,NaN,4436.8,NaN,4657.3,4819.3,4972.9,5224.7,5336.8,5466.5,5625.8,5793.5,5939.7,6107.7,6276.3,6427.3,NaN,NaN,6761.6,NaN,6983.2,7138.9,7294.4,7547.9,7660.2,7788.7,7945.7,NaN,8152.1,8309,8461,NaN,NaN,8781.6,8954.8,9094.7,9248.4,9434.2,9578,9826,9938.7,10074,10231,10393,10541,10700,NaN,10901,11078,11214,11486,11605,11736,11894,NaN,12102,12256,12412,12659,12794,12908,13069,NaN,13277,13438,13593,NaN,NaN,13924,14086,14234,14395,14584,14714,14979,15099,15226,15380,NaN,15597,15750,15911,16177,16290,16421,16611,16800,16962,17122
