n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x
1820.9,1963.5,2112.8,2284.8,2417.8,2925.6,3095.1,3227.8,3426.2,3624.6,3746.5,3936.9,4097.9,4260.7,NaN,NaN,4609.8,NaN,4811.7,4968.7,5140.8,5361.1,5493.1,5609.9,5816.8,5975.5,6090.2,6276.4,6434.4,6594.8,NaN,NaN,6932.8,NaN,7136.5,7304.7,7484.7,7709.5,7840.7,7954.1,8165.4,8312.2,8426.8,8612.6,NaN,8814.3,8971.7,9142.7,9366,9497.9,9613.5,9796.1,NaN,9996.9,10156,10328,10555,10688,10805,10992,NaN,11197,11362,11572,NaN,NaN,11928,12074,12190,12401,12556,12670,12860,13020
1895.2,2055.9,2183.3,2347.8,2523.7,2995.2,3166.9,3345.5,3497.1,3701.7,3868.7,4040.1,4198.3,NaN,NaN,4520.4,NaN,4756.2,4919.6,5067.5,5320.5,5436.6,5567.9,5737.2,5892.3,6050.9,6216.1,6385.9,6534.8,NaN,NaN,6858.8,NaN,7086.4,7245.8,7406.4,7669.2,7783.8,7913.4,8078.7,8241,8387.8,8552.2,NaN,8761.6,8914.4,9073.3,9327.7,9439.2,9574.4,9734.9,NaN,9944.1,10101,10257,10511,10645,10764,10928,NaN,11143,11303,11462,NaN,NaN,11836,12001,12152,12314,12475,12630,12795,12963,13125
