n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
2881.4,3436.6,4504.2,4694.2,4818,5042.2,5241.5,5359.6,5552.8,5711.8,5888.5,NaN,NaN,6233.4,NaN,6432.6,6587.5,6766,6986.3,7123.6,7240.4,7452.6,7613.8,7729,7914.6,8069.5,8231.5,NaN,NaN,8576.7,NaN,8774,8929.9,9115.1,9411.7,9559.3,9674.5,9868.5,10027,10194,NaN,NaN,10528,10935,11087,11201,11385,11545,11717,NaN,NaN,12060,NaN,12259,12421,12598,12824,12955,13070,13256,NaN,13459,13621,13809,NaN,NaN,14174,NaN,14372,14537,14720,14945,15076,15192,15386,NaN,15590,15755,15954,NaN,NaN
2955.8,3519.7,4591.2,4763.5,4931,5115.8,5314.6,5488.7,5662,5813.3,NaN,NaN,6149.3,NaN,6382.5,6541.2,6686.3,6950.5,7063.2,7198.4,7364.1,7535.1,7687.1,7852.8,8032.7,8180.6,NaN,NaN,8499,NaN,8725.2,8880.5,9033.2,9301.2,9486,9638.6,9801.3,9979.6,10132,NaN,NaN,10463,10682,11016,11163,11332,11514,11658,NaN,NaN,11979,NaN,12208,12372,12528,12782,12912,13039,13212,NaN,13407,13570,13730,NaN,NaN,14072,NaN,14322,14479,14648,14904,15033,15162,15345,NaN,15539,15700,15872,NaN,NaN,16216
