n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e
1829.3,1972.5,2131.5,2299.3,2530.5,2709.5,2856.4,3228.2,3383.4,3496.8,3684.2,3834.9,4022.9,NaN,NaN,4349.9,NaN,4542.2,4691.4,4857.7,5074.1,5199.4,5310.4,5522.8,5663.9,5774.1,5951.5,6103.4,6256.5,NaN,NaN,6579.4,NaN,6773.5,6929.3,7098.8,7309.7,7430.1,7538.3,7722,NaN,7914.3,8068.5,8238.4,NaN,NaN,8588.9,8729.3,8843
1861.7,2028.4,2204.6,2360.6,2614.6,2772.5,2965.7,3298.2,3447.7,3618.9,3783.4,3929.5,NaN,NaN,4281.5,NaN,4493.1,4640.4,4797.9,5033.4,5157.4,5270.1,5429.2,5598.7,5737.7,5890.5,6054.6,6208.2,NaN,NaN,6505.9,NaN,6723.3,6876.7,7030.7,7272.3,7390.4,7507.3,7659.3,NaN,7865.2,8018.1,8173.7,NaN,NaN,8500.3,8657.1,8805.3,8964.1
