n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
2978.7,3122.6,3969.2,4135.2,4253.2,4476.1,4652.5,4783.4,4970.1,5120.6,5284.9,NaN,NaN,5605.5,NaN,5799.4,5955.6,6128.1,6347,6473.7,6584.7,6800.1,6950.6,7064.3,7244.7,7400.2,7556,NaN,NaN,7963.4,8155.5,8270.5,8481,8652.2,8765.7,8998.3,9155.7,9270.8,9457.5,9609.5,9765.3,NaN,NaN,10087,NaN,10281,10438,10612,10829,10958,11075,11257,NaN,11453,11611,11799,NaN,NaN,12151,12295,12409,12621,12752,12871,13070,13208,13321,13510,13664,13824,NaN,NaN,14149,NaN,14346,14502,14688,14909,15032,15145,15328,NaN,15530,15690,15901,NaN,NaN,16281
3039.4,3181.4,4034.3,4199.7,4357.9,4541.7,4724.3,4895.3,5064,5215.9,NaN,NaN,5539.7,NaN,5751.6,5898.1,6052.1,6300.9,6419.1,6550.6,6704.5,6871.1,7027.2,7183.8,7349.7,7496.9,NaN,NaN,7806.1,8036.1,8229.8,8394.9,8552.3,8728.8,8882.6,9071.6,9237.3,9392.7,9572.7,9715.5,NaN,NaN,10019,NaN,10233,10381,10536,10791,10902,11034,11194,NaN,11404,11559,11737,NaN,NaN,12051,12221,12371,12530,12691,12838,12990,13140,13282,13443,13613,13760,NaN,NaN,14098,NaN,14296,14469,14602,14868,14993,15106,15266,NaN,15473,15636,15791,NaN,NaN,16161,16349
