n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n
1987.2,2156.5,2276.8,2500.2,2673.7,2792.2,2973.7,3121.8,3288.3,NaN,NaN,3613.6,NaN,3804,3955.7,4128.7,4345.7,4468.6,4579,4789,4935.2,5044.8,5222.2,5372.7,5520,NaN,NaN,5860.2,NaN,6052,6207.2,6375.3,6591.2,6714.2,6825.6,7028.2,7164.8,7275,7457.7,7608.3,7764,NaN,NaN,8094.3,NaN,8287.2,8442.2,8616.7,8832.7,8956.5
2058.2,2224.7,2382.3,2566.9,2751.1,2903.8,3070.1,3215.6,NaN,NaN,3542.1,NaN,3757.9,3903.1,4052.2,4304.7,4414.4,4539.2,4700.3,4858.4,5007,5161,5323.9,5468.7,NaN,NaN,5778.5,NaN,6006.4,6157.4,6305,6550.4,6664.3,6789.2,6944.1,7098.8,7242.9,7392.9,7559.8,7704.1,NaN,NaN,8017.7,NaN,8237.5,8391.6,8537.2,8792.8,8904.9,9031.4
