n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,n,n
1765.2,1967.4,2116.8,2280.3,2416.1,2653.6,2818.5,2946.9,3145.8,3296.7,3448.1,NaN,NaN,3798.3,NaN,3991.5,4143.9,4319.2,4542,4676.2,4791.7,4992.5,5133.8,5247.8,5445.8,5597.9,5752.8,NaN,NaN,6080.8,NaN,6276.2,6430.8,6602.6,6819.7,6944.8,7060.5,7257.1,7396.7,7508,7688.3,7845.2,8008.6,NaN,NaN,8336.7,NaN,8532.2,8690.3,8863.7,9081.1,9202.5,9316.3,9507.7,NaN,9701.9,9855.4,10031,10246,10373,10487,10665,NaN,10861,11019,11197,NaN,NaN,11554,11699,11808,12000,NaN,12196,12354,12532,NaN,NaN,12908,13178
1811,2037,2178.3,2351.5,2523.8,2743.3,2893,3068.6,3247.8,3392.6,NaN,NaN,3704.4,NaN,3946.5,4093.8,4242.4,4498.7,4611.4,4747.6,4911,5063,5208.2,5365.6,5546,5699.2,NaN,NaN,6006.3,NaN,6225.8,6378.5,6529.1,6782.2,6893.7,7021.3,7180.6,7330.2,7469.4,7628.2,7797,7944.8,NaN,NaN,8283.5,NaN,8482.3,8640.2,8789.2,9042.2,9153.8,9279.2,9446.5,NaN,9653.1,9804.1,9958,10207,10320,10453,10607,NaN,10810,10965,11121,NaN,NaN,11456,11622,11774,11927,NaN,12145,12296,12454,NaN,NaN,12790,12979,13249
