l,r,l,r,l,i,r,e,a,b,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,n,n,n,a,b,r,l,i,i,i,i,i,r,r,n,n,n,a,b,r,e,a,b
1807.9,1988.7,2173.2,2352.5,2531.4,2724.8,2887.6,3051.5,3181.4,3249,3416.7,3606.8,3743,3864.5,3932.6,4070.1,4262.6,4401.7,4532.8,4663.2,4737.9,4869.9,5057.7,5120.5,5246.2,5312.8,5446,5636.9,5771.2,5904.6,6046.7,6115.2,6276,6465.9,6664.3,6843,7015.2,7173.9,7373.6,7532.7,7709.4,7906.9,8042.7,8183,8323.1,8391.3,8559.8,8753.2,8882.8,8950.5
1870.6,2042.6,2252.2,2414.5,2611.4,2771.3,2941.4,3150.1,3232.9,3302.2,3483.5,3716.8,3845.3,3917.7,3988.3,4153.8,4336.6,4475.2,4605.6,4720.7,4794.1,4939,5101.7,5163.1,5301.2,5374.1,5533,5713.9,5846.5,5981.5,6102.4,6177.7,6363.1,6536.9,6704.5,6883.8,7054.1,7221.5,7411.9,7582.7,7782.1,7980.2,8111.7,8257.6,8372.9,8444.5,8632.6,8861.6,8933.4,9003.3
