l,l,l,l,l,r,l,r,r,r,e,a,b,r,n,n,n,e,e,a,b,r,n,l,r,l,i,r,e,a,b,i,r,e,e,a,b,r,i,i,n,n,n,a,b,r,v,x,a,b
1455.1,1694.3,1952.6,2233.7,2509.1,2738.8,2928.1,3122.9,3319.8,3504.9,3690.9,3823.7,3893.2,4059.9,4260.3,4412,4547,4706,4843,4970.3,5040.4,5216,5417.3,5578.2,5766,5972.5,6186.2,6349.4,6530.3,6666.6,6737.9,6923.1,7003.8,7112.5,7260.3,7383,7456.9,7620.5,7849.8,8052.7,8210.8,8354.2,8485.3,8621.2,8696.1,8836.6,9035.6,9102.6,9226.5,9295.3
1511.3,1751.2,2016.8,2300.8,2585.4,2791.2,3008.8,3187.1,3382,3569.1,3795.9,3873.9,3949.6,4128.8,4335.2,4482.8,4623.6,4811.6,4940.7,5024.2,5098.8,5293.5,5492.6,5653.1,5837.8,6046.5,6227.5,6409,6640.3,6721,6795.8,6973.9,7063.1,7213.4,7352.4,7439.8,7512.5,7684.7,7887.5,8091.8,8285,8427.7,8557.7,8677,8750.8,8905.4,9075.7,9139.7,9275.8,9347.9
