i,i,r,i,r,r,i,r,i,r,e,a,b,r,n,n,a,b,r,l,l,a,b,r,r,e,e,a,b,r,e,a,b,r,i,l,a,b,r,n,n,a,b,r,l,i,r,e,a,b,r,n,n,n,a,b,r,l,i,r,e,a,b,i,i,e,e,e,a,b,r,l,r,n,n,a,b,i,r,e,e
2816.4,3071.1,3246.1,3448,3620.3,3821.2,4016.5,4182.7,4385.1,4539.1,4714.8,4850.6,4916.5,5054.1,5235.8,5371.9,5515.6,5585,5716.8,5908.7,5969.4,6079.9,6151.2,6321,6397.5,6501.5,6643.2,6757.8,6823.6,7003.5,7211.6,7335.6,7403,7542.5,7754,7817.2,7933.5,8004.6,8150.9,8339.7,8477.1,8614.2,8684.2,8821.2,9004.2,9195.2,9358.9,9541.6,9669.3,9737.1,9917.5,10114,10252,10386,10527,10601,10800,11006,11197,11360,11541,11668,11735,11910,11986,12088,12224,12353,12474,12542,12682,12876,13049,13267,13439,13590,13664,13838,13921,14024,14162
2855.6,3115,3304.6,3488.6,3686.1,3875.1,4057.5,4246.6,4426.8,4599.8,4820.9,4903.5,4970.7,5126.7,5305.8,5447,5576.7,5644.9,5797.4,5947.3,6011.6,6137.7,6207.1,6371.8,6457.2,6597.4,6731.1,6806.9,6871.8,7071.7,7317.5,7387.3,7455.1,7613.2,7794.9,7860,7990.5,8063.8,8223.7,8410.1,8548.4,8668.9,8741,8892.4,9072.7,9237.2,9412.6,9651.3,9724.2,9795.8,10004,10187,10324,10460,10588,10664,10886,11076,11247,11427,11649,11721,11788,11954,12045,12189,12327,12453,12528,12591,12753,12934,13143,13345,13513,13649,13723,13884,13975,14119,14242
