l,l,r,l,r,e,a,b,r,e,e,e,a,b,r,n,n,a,b,r,i,l,r,l,r,e,a,b,r,n,n,a,b,r,v,x,a,b,r,e,e,e,a,b,r,l,r,l,i,i,i,n,n,n,a,b,i,i,e,e,e,a,b,r,l,r,v,x,a,b,i,r,e,e,e,a,b,r,n,n,e,a,b,r,n,n,a,b,r,l,i,l,l,r,n,n,a,b,i,r,e,e,e,a,b,r,r
1560.8,1769.6,1992.9,2186.9,2374.9,2573.5,2704.2,2772.1,2929,3140,3273.2,3400.7,3529.5,3597.6,3742.5,3929.2,4064.5,4201.3,4267.7,4415.3,4643.8,4838.6,5019.4,5206.5,5385.4,5585.9,5713.4,5781.6,5928,6147.8,6303.3,6442.4,6509.8,6650,6843.8,6902.9,7015.3,7083.8,7227.7,7440.5,7573.4,7705.4,7828.3,7897.4,8039.5,8250.3,8433.3,8626.6,8827.4,9021.1,9189.4,9375,9548.2,9687.7,9826.8,9897.2,10056,10142,10250,10397,10515,10644,10713,10901,11119,11302,11499,11562,11680,11753,11944,12026,12131,12274,12408,12534,12604,12775,12980,13132,13281,13418,13487,13649,13855,14000,14146,14221,14432,14632,14830,15044,15266,15478,15653,15803,15947,16023,16218,16299,16405,16547,16684,16808,16878,17100,17360
1616.5,1837.8,2051.7,2266.9,2430.5,2679.2,2754,2821.1,3010.7,3240.3,3369.6,3495.8,3580,3643,3804,4000.5,4134.8,4249.4,4315.2,4479.6,4667.9,4919,5076.2,5278.7,5458,5689.4,5763.5,5830,5970.7,6216.7,6371.8,6490.5,6558.6,6721.8,6868.4,6939.1,7063.9,7135.6,7297.4,7544.1,7672.2,7797.4,7877.9,7945,8111.4,8314.9,8507.4,8693.5,8868.2,9058.5,9229.6,9420.6,9618.8,9759.6,9878.2,9952.1,10106,10195,10354,10484,10617,10694,10757,10996,11182,11391,11535,11601,11735,11803,11988,12085,12240,12370,12509,12585,12654,12858,13051,13203,13393,13466,13541,13723,13926,14072,14202,14271,14505,14699,14871,15129,15345,15541,15729,15877,16007,16082,16271,16357,16510,16648,16775,16859,16930,17167,17460
