i,l,r,r,r,i,r,e,e,e,e,r,n,i,r,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,e,e,e,a,b,r,n,n,n,a,b,r
1997.2,2189.2,2389.9,2564.9,2746.7,2939,3109.3,3286.4,3426.8,3552,3681.2,3905.4,4103.4,4284.7,4442.4,4609.3,4740,4807.8,4956.4,5142.4,5280.2,5417,5560,5627.5,5766.3,5953.9,6014.7,6131.7,6199.4,6371.2,6449.1,6553.5,6688.3,6818.8,6954.7,7088,7216.2,7281,7426.4,7617.3,7760.3,7904.2,8045.7,8112.5,8289.1
2039.1,2267.8,2454.7,2629.6,2810,2983.1,3173.8,3390.8,3533.2,3647.4,3817.1,3968.6,4172.1,4328.6,4506.4,4721.2,4792.8,4860.5,5033.1,5216.2,5352.3,5487.9,5610.8,5685.8,5847.8,5990.3,6050.7,6181.4,6252.5,6416.2,6506.4,6656.6,6793.7,6917.5,7050.9,7197.7,7265.6,7339.8,7503.8,7688.2,7829.5,7974.8,8097.2,8164.1,8361.2
