l,l,r,l,r,r,r,n,n,a,b,r,i,r,r,e,e,e,e,e,a,b,r,n,n,n,a,b,r,l,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,e,e,e,e,e,a,b,r,v,x,a,b,i,r,e,e,e,e,r,l,i,i,i,n,n,a,b,i,r,e,e,a,b,l,r,n,n,e,a,b,r,e,a,b,r,l,i,e,a,b
1594,1766.9,1990.1,2191.1,2403.5,2592.7,2795.7,2977.1,3125.4,3272.6,3341.2,3490.7,3719,3893.2,4064.2,4247.3,4387,4522,4653.5,4786.9,4912.8,4983.2,5159.5,5359.2,5506.6,5653.1,5796.9,5865.7,6011.5,6201,6389.4,6596.2,6738.8,6863.5,6932.8,7128.1,7317.9,7468.3,7615.5,7686.1,7837.1,8040.8,8238.5,8408.4,8591.2,8733.7,8866.3,8936.2,9086.4,9288.7,9436.6,9575.3,9731.9,9869.8,10004,10135,10267,10393,10464,10609,10797,10861,10977,11053,11230,11312,11420,11561,11693,11828,12082,12291,12497,12696,12894,13066,13212,13360,13429,13600,13687,13797,13943,14073,14144,14382,14406,14573,14729,14883,15020,15092,15289,15503,15637,15708,15910,16116,16306,16515,16649,16719
1637.6,1836.2,2045.6,2272.2,2463.1,2649.8,2854.7,3047,3196.6,3321.9,3393.2,3557.9,3761.8,3954.7,4117.8,4346.6,4483.5,4616.5,4751.4,4887.8,4963.3,5026.3,5227.1,5431,5575.4,5723.2,5845.6,5917.2,6078.3,6262.6,6463.8,6705.8,6831.7,6914.1,6983.1,7195.5,7387.8,7537.6,7667.5,7740.2,7908.3,8105.7,8280.2,8468.9,8698.5,8831.4,8911.4,8987.2,9154.6,9361.1,9509.7,9647.6,9835.2,9975.7,10104,10231,10369,10445,10512,10680,10833,10896,11032,11103,11274,11368,11526,11658,11790,11952,12155,12356,12541,12737,12933,13140,13283,13408,13483,13654,13746,13902,14041,14126,14194,14405,14448,14644,14800,14995,15071,15143,15363,15612,15690,15761,15984,16180,16390,16623,16702,16773
