l,r,l,r,r,r,e,a,b,r,n,n,n,a,b,r,e,a,b,r,v,x,a,b,i,r,e,i,i,i,i,i,i,i,n,e,a,b,r,n,n,a,b,r,r,e,e,e,a,b,r,n,n,a,b,r,v,x,a,b,r,e,a,b,r,n,n,n,n,a,b,i,r,e,e,e,a,b,r,n
1803.8,1987.1,2159.4,2342.4,2522.6,2691.5,2864.9,2998.2,3065.6,3226.8,3413.6,3545.7,3679.9,3818.6,3886.8,4056.8,4260.4,4388.2,4456.2,4595.6,4781.8,4843.5,4957.7,5030.3,5198.6,5278.2,5382.3,6422.5,6626.6,6827.2,7005.5,7213.2,7396.7,7599.3,7766.2,7922.6,8053.3,8124.6,8316.8,8507,8639.1,8774,8842.9,8993.7,9079.2,9193.6,9319.8,9449.9,9573.5,9642.5,9777,9969.7,10104,10242,10311,10460,10665,10730,10849,10923,11070,11284,11416,11485,11665,11858,12001,12140,12283,12421,12491,12667,12747,12852,12996,13131,13256,13326,13516,13720
1865.6,2047.4,2240.3,2397.6,2573.9,2750.2,2966,3047.9,3117.9,3297.1,3487.4,3616.1,3750.8,3868.2,3940.3,4126.4,4370.3,4438.6,4514.2,4669,4811.1,4879.6,5013.4,5082.9,5241.4,5333.3,5477.2,6464.4,6662.4,6865.7,7040.9,7256,7440.2,7640.2,7838.4,8036.7,8109.8,8180.9,8398.3,8581,8711.5,8824.9,8899,9042.8,9136.2,9288.2,9417.6,9547,9623.4,9692.9,9847.1,10043,10172,10293,10365,10526,10693,10762,10903,10971,11136,11392,11469,11539,11735,11928,12073,12213,12355,12475,12542,12712,12800,12952,13094,13230,13308,13372,13590,13792
