l,l,l,l,l,r,i,i,r,i,r,n,e,e,e,e,a,b,r,n,n,n,a,b,r,l,i,i,i,r,r,n,n,n,a,b,r,l,i,i,i,r,n,n,a,b,r,v,x,a,b,i,r,e,a,b,r,e
2180.2,2624.5,2829.2,3038.9,3222.2,3444.2,3688,3930,4124.7,4339.9,4513.6,4700.2,4864.4,5006.5,5140.5,5273.6,5403.5,5475.1,5662.4,5887.7,6049.3,6188.2,6338.4,6407,6546.6,6746.2,6950.1,7150.5,7322.5,7495.3,7679.9,7853.5,7996.9,8130.7,8276.4,8345.7,8510.7,8722.2,8920.3,9114.3,9280.2,9455.5,9618.8,9756.4,9887.9,9964.8,10100,10304,10370,10497,10566,10746,10830,10948,11076,11146,11292,11500
2229.9,2687.4,2890.7,3107.9,3304.5,3505.3,3734.4,3985.3,4194.3,4381.4,4586.3,4773.2,4974.6,5106.6,5241,5380.3,5465.8,5539.6,5738.3,5963.4,6122.7,6266.5,6397.3,6471.6,6623.6,6820.5,6995.2,7190.8,7375.7,7566.2,7745.2,7930.4,8068.6,8204.1,8330.1,8407.3,8588.3,8795.8,8963,9155.4,9329.6,9500.4,9691.3,9835.5,9947.8,10026,10184,10344,10412,10549,10626,10803,10892,11043,11128,11200,11374,11603
