l,l,l,r,l,l,r,l,r,n,n,n,a,b,r,e,a,b,r,e,e,e,e,a,b,r,v,x,r,e,e,e,e,r,l,i,i,i,i,n,r,e,a,b,r,n,n,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,i,i,e,e,a,b,r,n,n,a,b,i,i,e,e,r
1732.4,1948.9,2255.3,2474.6,2666.9,2869.8,3065.8,3271.6,3441.4,3622.2,3770.8,3909,4046.9,4113.7,4282.2,4484.5,4613.4,4681.6,4855.3,5075.4,5208.4,5339.9,5474.8,5599.5,5666.9,5817.1,6018.5,6078.8,6266.5,6482.3,6616.9,6746.1,6881.2,7148.2,7358.8,7562,7754.3,7922.4,8100.3,8259.2,8448.2,8647.5,8777,8845.5,9008,9224.7,9367,9510.6,9647,9784.2,9920.9,9988.2,10141,10335,10515,10713,10874,11055,11193,11319,11387,11574,11764,11919,12064,12201,12274,12450,12532,12640,12780,12907,12977,13130,13323,13462,13606,13674,13848,13931,14039,14179,14472
1796.3,2015.5,2324.4,2539,2750.6,2951.8,3125.9,3347.6,3502.2,3694.5,3841.8,3981.2,4097.2,4165.8,4356.4,4591.8,4667.2,4737.9,4935.3,5177.6,5319.7,5444.7,5578.2,5652.3,5725.4,5890.3,6050.8,6116.6,6336.8,6582.9,6718.2,6849.2,7019.5,7220.8,7429,7605.9,7791.6,7963.9,8140.1,8327.7,8520,8748.8,8827.6,8895.9,9087.8,9297.4,9439.6,9589,9721.1,9854.8,9972.8,10045,10221,10404,10557,10752,10935,11160,11295,11369,11439,11647,11838,11991,12134,12258,12325,12506,12593,12748,12879,12960,13026,13201,13395,13540,13657,13732,13894,13992,14146,14314,14542
