l,l,r,l,r,i,i,i,i,i,r,e,a,b,r,n,n,n,a,b,r,l,i,r,e,a,b,r
1797.3,1995.5,2189.1,2384.4,2574.8,2755.8,2908.5,3083.1,3249.2,3437.9,3590.9,3770.5,3900.7,3968.4,4133.9,4334,4473.7,4604.8,4736.8,4811.6,4948.8,5149.9,5334.3,5492.5,5668.8,5794.6,5868.1,6001.9
1819,2067.4,2251,2461.5,2635.8,2807,2953.8,3125.3,3300.2,3482.1,3655.2,3878.8,3953,4024.4,4205,4406.5,4542.5,4674.7,4792.8,4865.9,5035.8,5216.2,5375.9,5552.6,5774.8,5854.8,5926,6080.4
