l,r,r,i,l,l,l,r,n,n,a,b,r,l,i,l,r,r,e,e,e,e,l,r,n,n,n,n,a,b,r,e,e,a,b,r,r,e,e,e,a,b,r,l,r,i,n,i,r,e,a,b,r,l,i,i,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,i,e
1520.9,1972.3,2173,2368.1,2548.1,2745.5,2913.8,3106.2,3300.4,3442.4,3583.8,3652,3827.2,4028.7,4220.5,4396.8,4589.9,4767.3,4963.3,5103,5238.9,5372.8,5490.9,5695.3,5862.8,6011.3,6157.8,6302.7,6446.7,6514.8,6681.3,6886.8,7024.1,7153.1,7223.4,7405.7,7489.7,7595.2,7735.7,7870.5,7997.8,8068,8263.9,8472.8,8658.5,8863.7,9047.6,9253.6,9407.8,9591.9,9724.9,9795.1,9972,10195,10406,10584,10745,10896,11041,11176,11251,11421,11508,11613,11753,11882,11953,12132,12350,12496,12642,12776,12852,13022,13233,13436,13682,13856,14062
1543.8,2035.8,2228.7,2406,2632.8,2823.8,2992.5,3178.2,3370.9,3514.2,3631.9,3704.5,3887.1,4089.9,4261.2,4478.8,4652.3,4824.2,5076.5,5206.8,5335.7,5480.3,5539.9,5753.5,5937.8,6083,6231.9,6378.3,6496.6,6564.4,6754.8,6996.6,7132.9,7208.3,7274.5,7449.8,7539.9,7700.7,7831.6,7962.9,8042,8115.9,8330.1,8529.4,8729.8,8911.9,9110.4,9295.7,9467.6,9697.3,9777.7,9845.6,10043,10267,10447,10626,10820,10971,11118,11234,11300,11470,11560,11715,11850,11933,12002,12198,12422,12569,12716,12833,12903,13096,13293,13485,13722,13905,14130
