l,l,l,l,i,i,r,i,r,i,r,r,e,a,b,r,e,e,e,e,e,e,r,n,n,a,b,r,e,e,e,e,e,a,b,r,i,l,r,r,e,a,b,r,n,n,a,b
2214,2419.6,2697.6,2938.9,3194.4,3402.5,3597.7,3815,4002.8,4225,4403.6,4582.8,4776.4,4910.2,4978.7,5140.2,5362.4,5498.9,5627.6,5757.3,5884.8,6014.6,6255.8,6463.8,6609.9,6759.5,6827.6,6978.3,7189.6,7330.9,7459.8,7592,7733.7,7852,7928.1,8064.9,8294.3,8469,8638.9,8823,9014.3,9141.5,9210.7,9401,9581.7,9719.8,9877.9,9947.5
2249.4,2477.9,2766.4,3017.9,3230.1,3441.5,3659.3,3857.5,4065.5,4263.4,4473.4,4652,4885.6,4964.3,5036.8,5218.4,5468.1,5597.3,5732,5854.4,5982.2,6148,6331.3,6533.6,6684.2,6808.6,6880.7,7045.2,7294.9,7433.4,7563,7695.7,7832.8,7903.6,7967.7,8134.1,8335.6,8542.9,8701.1,8884.2,9120.2,9191.5,9260.3,9468,9656.1,9797.3,9932.3,10006
