l,i,i,i,r,e,e,e,e,r,n,n,l,l,r,n,n,a,b,r,l,i,r,e,a,b,r,n,n,n,n,a,b,i,r,e,e,e,a,b,r,e,e,r,l,i,r,e,e,a,b,r,n,n,r,l,i,i,i,i,r,e,e
1086.1,1334.4,1566.7,1799.4,1984.2,2195,2327.2,2456.2,2585.3,2879.5,3073.7,3239.9,3403.4,3617.6,3815.6,3988,4124.7,4263.5,4331.6,4477.5,4670.2,4861.2,5023.5,5204.3,5334.9,5403.2,5547.5,5734.9,5876.5,6017.1,6152.4,6282.3,6356.8,6521.1,6607.3,6714.7,6852.9,6983.5,7110.5,7179.1,7364.7,7572.9,7709.1,7951.6,8148.3,8346.4,8508.6,8687.2,8824.1,8951.2,9020.3,9209.3,9423.7,9608.2,9784.6,9992.4,10184,10388,10561,10746,11046,11251,11392
1122.9,1373.5,1607,1839.3,2037.1,2292.9,2427.7,2551.4,2740.2,2946,3145.2,3308.6,3487.5,3701.6,3880.2,4059.7,4198.7,4312.2,4384.5,4546.2,4735,4904.4,5080.8,5313.8,5383.2,5453.1,5621.5,5803.6,5948.6,6091.6,6223.5,6337.8,6409.8,6574.4,6663,6819,6949.2,7082,7163.5,7225,7432.8,7675.6,7857.2,8027.2,8213.5,8386.3,8567.1,8786.8,8921.8,9002.5,9073.7,9279.6,9480.1,9668.4,9856.7,10060,10226,10425,10599,10784,11118,11362,11487
