l,l,r,l,r,r,r,e,a,b,r,n,n,n,n,a,b,r,n,n,n,a,b,r,e,e,e,a,b,r,l,i,r,e,a,b,r,l,i,r,e,a,b,r,l,i,r,e,a,b,r,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,n,n,a,b,i,r,e,e,a,b,r,l,i,i,n,a,b,r,r,e,e
1675.3,1943.6,2156.8,2347.7,2541,2735.6,2915.2,3092.9,3227.5,3296.7,3482,3678.4,3822.5,3967.9,4116.4,4270.7,4336,4498.4,4692.2,4834.3,4971.7,5118.5,5185.8,5323.6,5536.6,5676.7,5807.5,5932.7,6002.1,6168.4,6359.6,6557.7,6716.5,6902,7030.7,7104.6,7243.6,7455.6,7659.9,7843.5,8026.9,8160.6,8230.1,8374.4,8581.2,8776.7,8940.5,9112.9,9249.8,9319,9502,9588.9,9696,9836,9962.5,10033,10235,10428,10571,10709,10850,10928,11100,11297,11491,11697,11861,12009,12150,12226,12401,12480,12590,12731,12867,12937,13079,13278,13480,13672,13842,13997,14070,14240,14328,14437,14585
1740.8,2017.5,2217.1,2430.3,2606.3,2800.1,2982.9,3199,3278.9,3351.1,3550.3,3751.5,3892,4042.3,4187.8,4320,4390.4,4570.2,4769.8,4905.9,5045.8,5170,5237.4,5396.7,5646.4,5774.6,5906.6,5985.9,6058.4,6241.6,6432.1,6601,6777.3,7012.2,7089.1,7161.7,7323.5,7524,7701.4,7911.3,8136.4,8215.1,8288.6,8451.6,8648.3,8818.5,9005.6,9226.2,9306.9,9378.6,9563.9,9650.7,9798.8,9932.2,10016,10088,10311,10503,10647,10785,10914,10989,11184,11367,11542,11743,11938,12083,12210,12286,12448,12545,12697,12831,12923,13003,13166,13350,13537,13721,13921,14055,14131,14301,14389,14537,14668
