l,r,i,l,r,e,e,e,e,e,a,b,r,i,n,n,a,b,r,r,e,e,e,r,i,i,r,r,n,n,a,b,i,r,e,e,e,a,b,r,l,i,i,i,i,i,n,n,a,b,r,l,r,n,l,r,n,e,e,a,b,r,e,a,b,r,i,i,r,n,e,e,a,b
1761.5,1974.1,2210.5,2424.3,2649.1,2855,2993.3,3123.5,3255.8,3388.2,3513.1,3581.7,3787.7,4026.6,4196.5,4344.8,4491,4558.2,4753.9,4836.9,4949.1,5086.6,5210.9,5500.6,5727.5,5922.1,6089.3,6284.2,6455.3,6600.9,6741.1,6814.8,6985.8,7068.4,7173.9,7314.5,7446.5,7571.6,7641.4,7831,8035.8,8241,8454,8629,8788.8,8999.3,9170.7,9320.3,9460,9530.1,9734.2,9953.7,10204,10405,10558,10749,10945,11119,11258,11383,11452,11609,11801,11934,12003,12218,12441,12642,12811,12985,13142,13280,13409,13481
1789.9,2030.2,2253,2506.2,2707.2,2960.6,3086.1,3226.9,3349.8,3489.5,3565.6,3628.8,3852,4066.3,4267.5,4413.7,4539.2,4607.9,4796.5,4886.5,5021.6,5176.3,5336.2,5566.6,5766.6,5959.9,6149.1,6344.2,6524.2,6673.9,6795.7,6865.3,7030.3,7120.1,7276.7,7407.4,7548.4,7625.4,7691.6,7900.1,8095.9,8282.4,8494.8,8669,8831.3,9041.2,9242.4,9392.6,9513.8,9581.8,9805.8,10016,10265,10477,10631,10826,11017,11244,11358,11437,11506,11679,11907,11985,12055,12287,12484,12685,12862,13060,13253,13383,13462,13532
