l,i,r,l,r,l,r,n,n,a,b,r,e,e,a,b,r,l,i,r,e,a,b,r,l,i,i,i,i,r,r,e,a,b,i,r,e,e,n,i,i,n,e,e,a,b
1771.3,1998.8,2214.6,2406.3,2600.3,2794,2984.1,3179.2,3310.1,3449.3,3516.5,3647.2,3836.8,3978.7,4095.2,4163.4,4324.1,4517.4,4711.7,4879.3,5054.4,5187,5255,5417.1,5610.2,5799.6,5989.7,6143.3,6325,6500.5,6687.3,6874,7003.8,7074.6,7262.8,7341.4,7445.7,7589.6,7699.8,7827.8,8024.4,8196.7,8370.4,8512.3,8638.9,8707.3
1810.2,2038.2,2277.4,2487.2,2658.9,2870.3,3049.3,3250.4,3383.2,3501.2,3572.8,3729.5,3947,4075.5,4148.1,4218.2,4396.5,4584.2,4752.4,4942.4,5168.2,5237.5,5307.4,5488.4,5672.7,5847.7,6027.9,6185.5,6365.7,6562,6747.3,6983,7058.2,7129.5,7304.2,7391.6,7539.9,7682.7,7735.7,7887.8,8070.3,8267.9,8484.3,8613.7,8689.7,8758.2
