l,l,l,r,i,r,i,r,i,r,i,i,r,r,r,e,a,b,r,n,e,a,b,r,l,i,r,e,e,e,a,b,r,e,e,e,a,b,r,l,i,r,r,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,i,r,r,e,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,n,n,n,a,b,i
1558.2,1777.5,1966.3,2153.1,2382.9,2567.2,2776.9,2965.7,3196.9,3385.7,3624.3,3809.5,3966.8,4154.9,4324.5,4526.8,4653.3,4724,4900.7,5089.1,5239.4,5368.9,5435.5,5586.4,5781.1,5970.1,6132.8,6305.1,6438.9,6566.8,6689.8,6757.5,6899.6,7096.9,7229.1,7358.3,7482,7550.6,7692.7,7886.1,8071.5,8258,8440.1,8617.2,8791.2,8929.1,9067.2,9199.8,9269.2,9402.2,9592.1,9783.5,9951.2,10126,10259,10384,10453,10616,10941,11105,11288,11467,11605,11734,11859,11927,12102,12289,12438,12583,12654,12824,13032,13225,13387,13576,13706,13829,13900,14089,14282,14421,14558,14693,14763,14937,15133,15287,15430,15560,15633,15808
1596.4,1835.4,2037.3,2214,2422.5,2629.6,2816.1,3025.5,3240.3,3444.9,3670.3,3846,4019.3,4212.2,4405,4625.8,4709.3,4775.4,4973.2,5159.8,5342.8,5420.1,5489.5,5643.7,5841.6,6009.6,6183.9,6406,6538.2,6669,6740.8,6806.6,6961.6,7202.2,7333.7,7462.8,7530.9,7598.9,7758.7,7940.9,8111.9,8315.5,8493.1,8672.1,8861.7,8998.6,9137,9250.5,9320.6,9470.2,9654.5,9827.3,10011,10234,10362,10434,10505,10681,10980,11167,11345,11572,11710,11837,11912,11976,12168,12362,12510,12636,12707,12893,13105,13264,13449,13681,13807,13880,13947,14155,14352,14493,14629,14743,14814,15002,15201,15358,15502,15621,15692,15838
