l,i,l,r,i,r,r,e,a,b,r,n,n,a,b,r,l,i,r,e,a,b,r,l,i,r,e,a,b,r,n,n,n,n,a,b,r,v,x,a,b,r,e,e,e,a,b,r,e,e,r,l,i,i,r,n,n,n,a,b,r,l,i,r,e,a,b,r,n,n,n,n,n,a,b,r,l,i,i,i,n,r,v,x,a,b,i,r,e,e,e,a,b,r,l,r
1712.6,1994.9,2187.8,2395.5,2784.3,2970,3169.5,3357.3,3491.2,3559.5,3721.9,3922,4069.6,4213.3,4284.3,4424.2,4632.6,4841.5,5011.6,5193,5325.5,5394,5563.2,5766.5,5970.5,6126.8,6315.9,6446.3,6516.4,6689.7,6887.9,7027,7168.9,7307.2,7452.7,7520.3,7663.7,7866.3,7934,8055,8127.6,8278.1,8477.5,8615.7,8747.1,8880.4,8949.1,9091.9,9320.3,9458.4,9714.1,9922.4,10126,10331,10494,10673,10830,10974,11121,11190,11427,11628,11823,11982,12169,12299,12369,12561,12767,12907,13056,13198,13344,13484,13563,13729,13929,14136,14327,14493,14665,14861,15061,15123,15246,15316,15499,15581,15691,15831,15970,16101,16172,16331,16535,16807
1781.8,2036.7,2266.9,2455.2,2827.9,3038.6,3234,3465.9,3546.2,3615.2,3802.3,3995.1,4143.2,4268.2,4342.6,4508.6,4701.4,4883.8,5071.2,5297.6,5378.5,5450.1,5639.3,5838,6013.7,6184.9,6422.9,6499.8,6573.6,6772.7,6962.8,7103.6,7240.8,7383.7,7506.3,7579.7,7746.5,7907.3,7976.2,8112.2,8181.9,8349.3,8585.2,8714.1,8848.3,8930.8,9003.9,9178.9,9431.7,9608.7,9804,9997.1,10169,10379,10550,10751,10906,11048,11173,11247,11497,11695,11867,12043,12273,12354,12430,12641,12841,12982,13131,13273,13422,13546,13620,13818,14000,14177,14371,14542,14740,14947,15094,15164,15298,15374,15554,15642,15797,15930,16072,16154,16225,16408,16603,16877
