i,r,i,r,i,r,e,a,b,r,n,n,a,b,r,l,i,i,r,n,n,n,n,a,b,r,e,e,e,a,b,r,l,i,r,e,a,b,r,e,a,b,r,l,i,i,i,n,n,a,b,i,r,e,e,r,l,i,l,r,n,n,a,b,i,r,e,e,a,b,r,i,n
1997.4,2194.3,2397.2,2581.5,2789.7,2965.1,3152.1,3284,3350.1,3498.2,3692.2,3835.4,3977,4043.1,4183.5,4381,4566.5,4762.4,4924.3,5104.5,5244.5,5377.2,5522.2,5669.2,5734.9,5884.8,6087.9,6222.7,6350.6,6472.9,6538.8,6737.4,6951.1,7155.3,7318.8,7510.2,7639.7,7707.2,7865.4,8077.1,8203.5,8269.2,8414.1,8617.5,8825.6,9029.7,9195.6,9379.4,9524.1,9662.6,9734.1,9917.1,9999.8,10107,10243,10494,10703,10910,11095,11281,11451,11595,11742,11810,11974,12061,12168,12306,12431,12499,12706,12922,13101
2035.7,2255.3,2436.8,2640.9,2831.1,3022.9,3259.5,3334.2,3404.6,3563.7,3761.8,3901.9,4025.8,4099,4249.4,4439.6,4611.4,4809.2,4967.1,5175.9,5312.2,5446.1,5596.9,5718.6,5789.7,5957.9,6195.2,6326.5,6446,6524.2,6590.8,6804.9,7023.2,7196.9,7380.2,7615.1,7691.1,7760.1,7937.2,8176,8255.5,8326.8,8481.8,8683.1,8867,9072.1,9232.7,9453.7,9599,9719.6,9790.6,9963.8,10061,10212,10392,10569,10774,10953,11179,11346,11530,11668,11794,11864,12026,12121,12274,12405,12483,12555,12781,12971,13174
