l,l,r,l,r,r,n,n,n,a,b,r,n,n,a,b,i,r,e,e,e,a,b,r,e,e,e,e,e,a,b,r,v,x,a,b,r,l,i,i,i,n,e,a,b,r,n
2455.3,2651.6,2871.4,3064.1,3249.8,3429.1,3612,3756.3,3892.3,4031.4,4099,4262.9,4451.7,4594.3,4730.5,4804.1,4976.4,5059.3,5172.6,5311.9,5436.8,5561.2,5630.7,5768.8,5961.4,6100,6231.6,6368.6,6505.4,6632.5,6700.6,6846.1,7048.8,7114.8,7241,7308.5,7464.8,7648.4,7840.9,8039.7,8196,8360.7,8513.6,8650.7,8721.9,8899.5,9092
2484.6,2720.2,2933.1,3146,3306.1,3482.6,3684.7,3826.3,3963.8,4081,4154.4,4331.2,4521.1,4663.5,4785.3,4859.2,5019.7,5106.9,5265,5398.8,5535.3,5612.7,5681.1,5836.3,6065.6,6201.6,6332.1,6472,6610.8,6682.9,6752,6913.5,7085.6,7147.4,7289.2,7357.3,7528.1,7713.4,7884.3,8077.7,8240.8,8436.8,8619,8701.1,8770.8,8972.9,9159.7
