l,r,i,r,i,i,r,r,r,n,n,n,n,a,b,r,l,l,r,n,a,b,i,i,e,e,a,b,r,l,r,i,l,r,n,n,a,b,r,l,r,e,e,a,b,r,n,n,e,e,e,r,l,i,r,e,e,a,b,i,r,e,e
1775.9,1986.2,2203.9,2414.9,2630.5,2858.5,3035,3224.7,3419.1,3592.8,3746.4,3894.9,4033,4175,4241.8,4384.8,4603.7,4809.1,4994,5168.4,5319.1,5385.2,5558.9,5639.8,5747.2,5885.1,6009.3,6079.3,6283.2,6484.2,6663.2,6921.3,7103.2,7301.9,7473.8,7618.6,7758.3,7825.5,7966,8161.5,8350.5,8545,8681,8807.3,8878.1,9021.9,9217.2,9359.4,9508.9,9643.5,9776.8,10016,10215,10417,10584,10763,10896,11024,11091,11288,11367,11473,11613
1836.8,2043.3,2242.9,2474.5,2669,2899.6,3094.3,3290,3482.5,3661.8,3817.5,3963.6,4103.1,4224.7,4298.8,4456.6,4679.1,4892.9,5060.2,5237.3,5367.6,5435.7,5603.2,5690.3,5855.2,5971.2,6058.9,6129.7,6348.2,6547.7,6733.1,6962.7,7183.8,7364.2,7547.2,7689.3,7809,7878.7,8041.5,8224.1,8420.2,8651.2,8785,8863,8933.1,9105.1,9291.7,9431.6,9614.7,9743.8,9911.8,10096,10285,10457,10646,10873,10997,11077,11141,11337,11420,11579,11752
