i,i,r,l,r,i,i,i,n,a,b,r,l,n,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,e,a,b,r,i,i,i,n,r,e,e,e,e,a,b
1996.6,2201.8,2369.8,2549.9,2757,2967.4,3134.3,3312.1,3462.7,3605.1,3677.2,3802.4,3994.1,4153.7,4286.9,4488.3,4620.2,4746.8,4816.6,4994.4,5193.1,5339.6,5479.4,5616.7,5684.8,5849.7,6043.9,6237.2,6400.9,6574.8,6709.9,6842,6966.6,7035.3,7236.2,7456.8,7626.3,7831.9,7988,8156.8,8361.4,8490.6,8625.3,8758.8,8888,8957
2039.7,2238.5,2432.9,2625.8,2824.7,3009.5,3171.3,3353,3535.4,3661.1,3735.1,3880.5,4038.9,4221.7,4367.2,4594.1,4719.4,4799.9,4869.8,5070.3,5265.2,5410.9,5556.8,5668.3,5741.3,5936.6,6116.3,6277.6,6463.8,6685.2,6821.4,6939,7019.9,7090.1,7309.3,7496.6,7670,7871.1,8051,8227.2,8460.4,8594,8730.3,8867.8,8940.1,9007.4
