l,r,i,r,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,n,a,b,r,e,e,e,a,b,r,n,n,n,a,b,r,e,e,r,n,l,r,e,a,b
1793.8,1978.1,2172,2327.5,2500.7,2679.3,2816.8,2939.2,3006,3184.7,3367,3503,3636.8,3769.9,3836.4,3977,4165.1,4368.7,4524.2,4693.4,4821.7,4895.4,5025.2,5221.7,5351.8,5477.3,5602.8,5670.4,5805.8,5984.2,6120.2,6255.4,6387.5,6455.3,6634,6838.9,6971.3,7215.4,7410.9,7573.9,7782.6,7996.8,8126.3,8193.8
1839.3,2034.9,2214.6,2384.6,2561.5,2788.9,2917.5,2991.1,3058.6,3251,3436.9,3573.4,3705.5,3821.8,3886.4,4055.3,4230.7,4407.2,4583.3,4765.4,4879.3,4945.9,5091.3,5323.6,5449.9,5582.6,5652.7,5721.4,5872.3,6051.8,6195.8,6323.7,6438.7,6508.6,6700.9,6942.6,7121.6,7286.8,7482.3,7650.3,7853.3,8102.1,8178.6,8244.8
