l,l,l,r,l,r,r,r,i,r,n,n,n,a,b,r,i,r,e,a,b,i,r,e,e,a,b,r,e,a,b,r,l,i,i,i,n,n,a,b,r,l,r,l,i,i,n,a,b,r,l,r,e,a,b,r,l,i,r,e,e,e,e,i,i,i,n,e,e,a,b,r,n,n,a,b,r,l,i,l,r,l,i,r,e,a,b,r,n,n,n,a,b,r,l,i,i,n,e,e,a,b,r
1780,1995.3,2207.5,2419.3,2635.1,2848.6,3043.7,3242.3,3462.5,3645.9,3826.1,3980.6,4117.7,4263.1,4331.6,4498.5,4723.2,4909.5,5100.2,5233.6,5302.5,5489.3,5569.9,5676.9,5815.7,5950.4,6021.1,6197.2,6401.8,6530.7,6600.1,6791.1,7001.5,7213.2,7401.2,7563.8,7732,7880.7,8023.1,8092.2,8247.8,8431.8,8615.3,8821.3,9018.8,9200.1,9364.6,9516.8,9585.1,9733.2,9934.6,10124,10326,10462,10531,10720,10927,11137,11296,11470,11609,11740,11880,12296,12480,12644,12807,12967,13109,13236,13306,13477,13668,13814,13958,14027,14172,14394,14604,14789,14977,15182,15395,15565,15744,15880,15950,16147,16351,16491,16632,16770,16847,17018,17230,17431,17628,17792,17953,18097,18229,18299,18466
1811.3,2058.6,2267.1,2477.9,2713.8,2904.5,3107.1,3304.2,3504.8,3714.5,3900.9,4049.8,4191.6,4315.9,4388,4577.3,4768,4974.4,5204.7,5289.1,5360.2,5535.8,5631.8,5784.4,5911.9,6006.3,6074,6279,6503.2,6581.5,6652.9,6861.2,7071.2,7256.5,7440.8,7606.8,7806.9,7954.4,8073.3,8143.9,8314.2,8502.2,8692.7,8892.1,9063.5,9251.8,9442.7,9569.2,9645.2,9808.1,9982.1,10191,10430,10513,10584,10787,11004,11177,11353,11576,11709,11842,12018,12340,12522,12683,12882,13078,13209,13288,13358,13552,13746,13889,14010,14080,14247,14470,14648,14875,15040,15255,15434,15625,15852,15932,16004,16225,16428,16567,16707,16831,16907,17094,17301,17477,17672,17872,18064,18204,18283,18352,18535
