l,i,i,i,i,r,v,x,a,b,i,r,e,e,a,i,r,l,i,i,n,n,a,b,r,l,i,i,n,r,e,e,e,a,b,r,n,n,e,a,b,r,n,n,a,b,r,e,a,b,r,n,r,r,n,n,n,a,b,r,l,i,r,n,n,n,n,n,a,b,r,r,e,e,a,b
1797.7,1996.2,2185.9,2355.8,2545.4,2715.6,2916.6,2984,3100.7,3169.1,3343.9,3424.8,3531.7,3676,3813.2,3898.3,4057.7,4247.2,4442,4630.4,4811,4945.4,5093.6,5162.6,5303.8,5503.7,5713.9,5930.2,6100.7,6282.7,6487.9,6627,6760.1,6885.6,6956.1,7123.4,7321.2,7462.8,7613.8,7753.4,7824,7966.7,8159.6,8306,8445.9,8521.9,8699.4,8920.8,9056.3,9125.9,9377.2,9583.4,9780.4,9963.2,10158,10291,10449,10597,10666,10835,11039,11242,11466,11638,11786,11932,12069,12211,12355,12431,12625,12712,12822,12963,13087,13163
1817.8,2034.6,2228.2,2401.2,2587.8,2792.6,2955.1,3019.7,3150.8,3222.8,3393,3481.1,3634.2,3776.7,3866,3936.3,4125.7,4313,4485.4,4672.3,4886.8,5022,5149.2,5223.4,5393.2,5564.8,5758.7,5970.2,6173.6,6359.3,6596.1,6725.2,6861.1,6935.9,7009.2,7194.6,7396.9,7538.2,7718.8,7809.2,7883.4,8053.6,8235.9,8383.2,8506.4,8582.5,8785.8,9029.5,9114.3,9184.7,9451.1,9653.7,9842,10057,10233,10366,10522,10649,10723,10914,11112,11283,11527,11714,11866,12008,12147,12288,12418,12494,12681,12773,12927,13063,13154,13228
