l,l,l,l,r,l,r,r,r,e,a,b,r,n,n,n,n,a,b,r,v,x,a,b,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e
1155,1391.5,1595.6,1791.6,1986.6,2170.2,2371.9,2556.7,2734.4,2922.2,3046.3,3113.2,3256.6,3450.9,3597.4,3730.9,3861,3997.8,4065.5,4213.7,4394.2,4455.7,4587.9,4653,4803.8,5010.2,5144.2,5269.1,5337.5,5480,5682,5840.6,5982.3,6116.6,6185.4,6324.8,6517.3,6579.2,6699,6766.9,6936.2,7017.2,7132.7,7264.9
1184.2,1428.1,1664.8,1872.6,2042.6,2244.2,2429.4,2614,2790.9,3024.4,3095.7,3163.5,3331.3,3519.2,3668.8,3798.5,3929.4,4049.1,4117.3,4279.8,4426.6,4490.1,4633.4,4705.2,4872.9,5117.9,5242.3,5320.2,5384.5,5546.5,5751.1,5911.8,6055.2,6166.4,6238.4,6392.3,6547.4,6617.1,6747.6,6817.2,6983,7068.9,7226.6,7325.1
