i,r,i,r,e,e,e,a,b,r,i,i,r,e,e,e,a,b,r,i,i,i,n,n,n,a,b,r,l,i,r,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,i,n,n,a,b,r,l,i,r,r,l,r,n,n,a,b,i,r,e,e,r,n,n,n,a,b,r,e,e,e,e
1993.3,2221.8,2453.3,2620.8,2813.4,2959.9,3092.9,3206.8,3276.3,3427.5,3666.9,3853.5,4028.4,4214.2,4350.2,4481.1,4609.7,4678.4,4827.2,5162.5,5362.4,5547.2,5708.2,5852.8,5998.1,6143.8,6211.8,6354.7,6549.6,6747.1,6905.6,7087.8,7219.7,7289.4,7430.8,7623.6,7685.6,7808,7875.8,8056.5,8134.6,8243.3,8385.3,8512.8,8586.2,8727.8,8958.2,9131.2,9270.4,9405.7,9479.6,9632.1,9857.8,10068,10251,10444,10647,10838,11019,11168,11317,11387,11582,11665,11771,11914,12163,12357,12498,12641,12774,12848,12998,13215,13357,13487,13624
2037.5,2275.2,2473.7,2672.7,2925.1,3053.2,3185.2,3256.5,3325.2,3492.5,3709.2,3893.9,4089.8,4319.7,4456,4584.4,4664.2,4730.8,4896.8,5208.3,5400,5587.6,5779.6,5922,6067.3,6194,6265.2,6426.8,6609.5,6787.8,6962,7192.6,7270.6,7339.7,7501.3,7656.7,7724,7855.4,7927.8,8102.1,8193.5,8349.2,8488.6,8568.9,8639.3,8803.2,9001,9202.8,9338.5,9462,9531.5,9706.7,9934.4,10112,10318,10516,10728,10913,11092,11241,11368,11440,11632,11722,11860,12054,12235,12426,12571,12714,12831,12901,13084,13326,13460,13590,13759
