r,l,r,i,r,e,a,b,r,n,n,n,a,b,r,e,e,e,a,b,r,l,i,i,i,r,i,r,e,e,a,b,r
1985.1,2169,2367.2,2600.3,2779.5,2972.8,3096.5,3165,3322.2,3515.6,3660.7,3795.1,3928,3995,4138.6,4340.7,4478.7,4608.2,4736.1,4805.1,4952.1,5173.9,5364.7,5565.2,5734.3,5898.1,6102.8,6250.7,6426.8,6569.8,6687,6755.7,6944.8
2043.7,2245.5,2419.3,2640.4,2836.5,3070.2,3144.9,3215.3,3388.8,3587.1,3731.2,3866.3,3976.6,4045.5,4206.5,4444,4580.7,4707.4,4788.5,4853.9,5015.8,5233.8,5404.4,5602.9,5772,5952.2,6141.9,6303.1,6526.4,6663.7,6739.9,6803.1,7013.4
