l,r,l,l,l,l,r,l,l,l,r,r,r,r,e,a,b,r,n,n,n,a,b,r,l,l,a,b,r,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,e,r,n,n,a,b,i,r,e,e,e,e,a,b,r,n,n,n,a,b,i,r,e,e,e,e,a,b,r,l,i,r,e,e,a,b,r,l,r,i,n,n,n
1770.9,1963.7,2150.3,2330.3,2506.3,2680.5,2860.6,3084.1,3262.5,3452.3,3645,3812,3982.1,4159,4334.9,4464.7,4531.4,4681.6,4856.3,5008.2,5137.4,5269.6,5342.1,5476.2,5675.1,5738.6,5849.2,5920.3,6069.5,6268,6393.8,6461.8,6591.7,6798.2,6934.6,7074,7139.4,7275.2,7470.4,7531,7644.1,7715.2,7880.2,7959.8,8064.6,8198.7,8329.2,8583.6,8769.5,8905,9047.3,9116.1,9295.9,9373.9,9478.9,9614.6,9742.7,9874.3,9993.2,10066,10205,10402,10545,10704,10836,10908,11079,11160,11267,11406,11536,11671,11793,11862,12008,12204,12409,12573,12759,12893,13016,13086,13254,13449,13661,13857,14018,14210,14357
1843.8,2020.9,2223.9,2410.5,2582.5,2752.9,2920.1,3169.1,3340.3,3527.6,3699.2,3867.5,4040.4,4214.8,4439.2,4514.6,4584,4743.2,4926.3,5078.5,5208.5,5324.8,5393.3,5554.5,5708.8,5772.6,5901.4,5969.7,6127.3,6372.4,6445.1,6512.3,6675.2,6868.6,7006.2,7123.8,7193.5,7375.4,7501,7569.8,7696.7,7766.1,7927.3,8011.2,8163.7,8294.5,8473.4,8648.8,8839.7,8977.8,9098.8,9168.6,9344.7,9432.2,9579.9,9712.7,9836.4,9979.5,10051,10119,10272,10474,10616,10775,10893,10960,11130,11220,11373,11507,11642,11775,11843,11914,12084,12269,12448,12633,12862,12996,13070,13138,13325,13512,13724,13901,14064,14287,14429
