i,r,i,r,r,e,a,b,r,n,n,n,n,a,b,r,e,e,a,b,r,n,n,e,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,i,r,e,e,e,e,a,b,r,n,n,e,a,b,r,n,n,a,b,i,r,e,e,e,e,e,r,n,n,a,b,i,r,e,e,r,e,e,a,b,r,i,l,r,e,a,b,r,l,i,r,n,n,e,e,a,b,r,i,l,i,r,i,n,n,n,a,b,i,r,e,e,a,b
1968.9,2180.3,2397.7,2582.9,2774.7,2960,3086.9,3153.2,3300,3483.7,3616.1,3750.7,3883.6,4022.7,4087.5,4222.8,4428.5,4558.2,4681,4747.8,4892.2,5098.8,5244.5,5389.5,5525.6,5653.4,5773.6,5840.7,5981.1,6171.7,6310.6,6440.1,6513.3,6687.7,6887.2,7028.8,7170.4,7304.3,7370.7,7541.7,7619.1,7719.2,7857.2,7988.1,8119.7,8238.6,8305.9,8449.9,8642,8783.4,8936.3,9065.1,9131.8,9278.4,9480.7,9616,9753.5,9823.7,9995.7,10074,10178,10316,10445,10577,10704,10944,11143,11280,11424,11497,11678,11763,11866,12003,12268,12486,12622,12750,12817,13007,13053,13201,13390,13626,13756,13824,14018,14225,14435,14614,14791,14938,15086,15225,15349,15418,15570,15807,16004,16213,16382,16571,16746,16889,17044,17177,17250,17409,17495,17601,17743,17868,17936
2010.4,2238.5,2435.8,2642.1,2833.2,3062.8,3138.4,3205.9,3377.2,3556.5,3688.6,3823.8,3956.6,4071.5,4142.1,4305.1,4535.2,4667.9,4734.1,4799.7,4966.5,5169.7,5317.8,5500,5624.3,5750.5,5824.2,5893.4,6050,6243.5,6381.8,6496.8,6566.7,6754.7,6958.9,7102.7,7240.5,7355.1,7423.7,7583.3,7674.3,7821.4,7957,8086.6,8215,8289.9,8359.1,8518.2,8717,8858.2,9044.2,9116.8,9186.2,9356.8,9550.1,9689.5,9807.7,9876.7,10045,10132,10276,10413,10545,10673,10834,11015,11219,11353,11483,11550,11725,11823,11972,12146,12340,12600,12724,12803,12877,13052,13086,13264,13464,13731,13811,13878,14087,14286,14477,14677,14867,15013,15202,15323,15403,15470,15650,15851,16085,16260,16447,16620,16819,16960,17120,17234,17305,17464,17556,17700,17844,17918,17988
