l,l,r,l,l,r,l,l,i,r,i,i,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,i,e,e,e,e,e,a,b,r,i,i,i,i,n,e,a,b,i,i,e,e,a,b,r,i,i,r,r,n,n,a,b,r,r,e,e,a,b,r,l,i,n,n,n,a,b,i,r,e,e,r,n,n,e,e,e,a,b,r
1796.8,1991.3,2213.2,2416.1,2601.1,2796.1,2991.8,3176.8,3407.6,3576.8,3779,3978.3,4150.2,4330.9,4511.8,4697.8,4838.3,4965.1,5034.2,5208.6,5406.5,5546.2,5680,5819.6,5889,6026.3,6237.5,6306.8,6426.5,6493.8,6660.5,6744.7,6852.6,6993.1,7126.2,7255.2,7385.8,7519.7,7588.9,7728.8,7954.4,8143.2,8305.4,8500.3,8663.9,8828.5,8962,9031.2,9209,9290.8,9396.6,9541.9,9660.9,9729.5,9863.3,10124,10329,10489,10675,10878,11016,11155,11225,11398,11483,11588,11727,11857,11926,12107,12319,12519,12701,12847,12984,13120,13197,13369,13454,13561,13707,13972,14168,14314,14473,14609,14744,14872,14942,15111
1855.6,2064.6,2277.7,2495.8,2677.6,2859.5,3074.5,3261.2,3450.9,3642,3824.6,4021.5,4219,4393.3,4580.4,4806.7,4930.8,5018.5,5090.7,5284.2,5479.3,5621.7,5755.8,5874.4,5948.9,6107.7,6285,6348.4,6478.7,6552.2,6713.1,6803.4,6949.3,7091.9,7227.4,7357.2,7487.2,7574.2,7644.5,7803.4,7996.5,8181.6,8353.4,8540.3,8741.1,8931.4,9018.5,9089.8,9256.3,9351.2,9499.8,9629.2,9712.6,9783.2,9938.8,10176,10369,10547,10759,10954,11089,11208,11281,11451,11543,11690,11828,11910,11979,12183,12390,12565,12780,12926,13060,13181,13256,13426,13515,13663,13831,14049,14248,14394,14582,14714,14839,14929,14999,15187
