i,i,i,r,r,n,n,n,a,b,i,r,e,e,a,b,r,l,r,e,a,b,r,l,r,n,n,a,b,r,v,x,a,b,i,r,e,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,i,r,n,e,e,e,a,b,r,n,n,n,a,b,r,l,i,r
1997.5,2193,2362.3,2513.2,2691.9,2868.9,3004.6,3135.7,3259.3,3332.6,3484.2,3567.2,3672.2,3806.5,3927.8,3994.7,4131.9,4312.2,4483.9,4726.6,4856.9,4924.1,5115.3,5316.1,5490.8,5684.4,5816.8,5953.6,6026.5,6163.4,6348.8,6412,6527.2,6593.1,6758.1,6837.5,6943.3,7081.7,7211.9,7336.2,7405.8,7594.3,7802.6,7943.5,8079.7,8151,8317.3,8498,8643.1,8777.8,8851.7,9010.8,9212,9398.7,9667.7,9853.3,10007,10143,10275,10394,10466,10667,10870,11018,11165,11313,11381,11528,11726,11920,12096
2040.8,2229.9,2402,2574.5,2753,2939,3072.1,3205.5,3316.5,3385.6,3532.6,3623.1,3766.4,3898.2,3979.2,4047.7,4200.1,4371,4554.7,4824.8,4907.5,4976.4,5185.8,5381.4,5556.8,5754.8,5889.3,6008.6,6078.1,6238.7,6380.9,6445.5,6575.3,6643.1,6802.1,6889.8,7043.2,7178.2,7311.2,7388,7453.5,7664.9,7874.3,8014.6,8134.6,8202.6,8384.5,8573.6,8717.6,8833.3,8906.3,9097.7,9275.4,9440.7,9737,9924.6,10115,10248,10376,10449,10518,10737,10940,11094,11241,11365,11433,11600,11785,11960,12156
