l,r,i,r,e,e,e,a,b,r,i,r,r,e,a,b,r,n,n,n,n,a,b,r,l,i,r,e,e,e,a,b,r,n,n,a,b,r,l,r,n,n,n,a,b,r,v,x,a,b,l,i,e,e,a,b,r,n,n,e,e,a,b,r,l,i,r,e,e,a,b
1760.5,1966.4,2172.2,2355,2550.3,2608.3,2687,2811.9,2879.9,3031.3,3284.6,3458.9,3652.6,3835.4,3966.8,4034.2,4223.4,4411.9,4558.4,4700.2,4842.2,4982.9,5055.5,5229.9,5425.6,5639.9,5808.9,5990.3,6127.1,6259.1,6386.2,6455.5,6607.5,6795.8,6943.1,7093.2,7162.1,7324,7531.8,7708.5,7910.2,8049.7,8190,8330.2,8399.4,8540,8751.8,8812.8,8936.8,9004.6,9155,9195.5,9353.6,9492.7,9617.1,9688.8,9881.8,10061,10204,10354,10488,10612,10682,10867,11077,11277,11448,11652,11790,11918,11988
1822.8,2023,2212.4,2415.5,2604.5,2655.1,2786.7,2862.1,2932.6,3104.5,3325.4,3519.3,3711.2,3941.8,4020.1,4087.4,4291,4486.4,4632.8,4772.6,4913.8,5039.3,5106,5297.6,5497.6,5681.6,5869.2,6090.2,6227.8,6361.3,6438.8,6509.2,6677.4,6868.9,7015.8,7146.4,7215.2,7395.8,7593.5,7784.3,7983.2,8121.4,8261,8382.3,8454.3,8607.1,8776.3,8849.1,8988.1,9055.8,9185.9,9218.4,9464.5,9591.9,9669.5,9740.2,9950.7,10136,10279,10460,10588,10668,10740,10936,11142,11318,11508,11762,11899,11971,12039
