l,l,l,l,l,r,l,r,r,i,r,r,r,i,r,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,e,e,a,b,r,n,n,n,a,b
1913.1,2111.6,2265.9,2495,2660.8,2889.8,3082.4,3280.4,3467.2,3673.2,3850.3,4037.8,4227.2,4430.3,4595.6,4779.4,4961.9,5097.5,5222.4,5290.4,5445.1,5645,5783.5,5931.8,5998.8,6148.6,6340.6,6538.1,6704,6882.3,7019.8,7144.5,7213.8,7391.7,7594.8,7737.3,7853.5,7922.6,8058.7,8258.6,8401.6,8536.2,8665.5,8740.3
2008.7,2207.1,2354.2,2557.3,2738.9,2950.8,3163.4,3340.5,3528.4,3717,3914.8,4115,4300.9,4469.2,4658,4838.5,5067.2,5191.8,5273.2,5342.3,5518.3,5715.4,5854.9,5982.9,6051.7,6221.1,6413.4,6579.6,6762.5,6990,7122.4,7195.9,7260.8,7459.6,7699.8,7827.2,7903.8,7970.8,8132.2,8327.9,8472.5,8606.4,8724.7,8796.2
