i,i,r,i,i,n,n,n,n,a,b,r,e,a,b,r,n,n,n,a,b,r,e,e,e,e,e,e,a,b,r,n,n,a,b,r,l,i,i,e,a,b,r,n,n,a,b,i,i,e,e,a,b,r,n,n,a,b,r,v,x,a,b,r,i,e,a,b,r,v,x,a,b,i,r,e,e,e,a,b,r,i,i,n,r,n,n,a,b,r,r,e
1997,2209.2,2388.4,2580.3,2739.7,2910.5,3051.1,3183.5,3319.3,3454.6,3521.8,3660.2,3862.3,3994,4062.1,4233.8,4423.1,4558.8,4693.3,4835.2,4904.2,5032.5,5262.4,5399.7,5528.7,5659.4,5797.2,5933.2,6059.6,6127.9,6282.1,6498.9,6640.1,6791.2,6862.8,7007.7,7211.2,7409.5,7587.7,7771.9,7894.6,7965.2,8144.7,8334.8,8476.6,8622.8,8692.7,8882.2,8963.7,9071.2,9209.6,9337.3,9408.9,9573.5,9779.1,9927.7,10070,10144,10292,10501,10565,10687,10756,10915,10961,11136,11274,11343,11508,11732,11802,11925,11983,12174,12257,12365,12502,12636,12762,12834,12986,13243,13469,13654,13851,14075,14225,14376,14445,14618,14707,14819
2035.5,2252.3,2452.4,2618,2786.5,2978.4,3122.2,3253.7,3391.9,3504.6,3576.7,3726.9,3951.1,4045,4114.7,4297.9,4493.8,4629.5,4767.7,4885.3,4952.1,5130.2,5366,5500.3,5632.7,5760.3,5901.9,6038.9,6110.2,6172.5,6355.6,6572.2,6711.7,6844.6,6913.6,7076.7,7266.6,7450.4,7645.3,7855.5,7948.9,8006.6,8183.1,8405.5,8552.4,8672.5,8745.7,8925.4,9021.3,9175.6,9315,9389.3,9456.7,9643,9853.9,10001,10128,10200,10358,10527,10605,10736,10807,10957,10983,11239,11324,11397,11575,11768,11841,11976,12057,12217,12307,12470,12609,12737,12815,12885,13060,13285,13511,13702,13927,14147,14296,14428,14498,14666,14758,14917
