n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,n,n
2183.4,2359.1,2513,2674,2811.2,2985,3145.5,3303.3,3456.8,3618.9,3769.4,3866.8,NaN,4041.9,4192.2,4397.1,NaN,4472.6,4649.5,NaN,4827.4,4978.8,5173,NaN,5262.6,5441.9,5598.5,5749.9,5846.7,NaN,6018.6,6177.4,6384.4,NaN,6464.1,6637.3,6802.2,6968.8,7102.8,7279.3,NaN,7459,7613.9,7860.6,NaN,7939.8,8119.6,8278.4,8444.3,8609.3,8716,NaN,8894.3,9049.1,9259.8,NaN,9340,9521.3,9690.4,9807.5,10018,NaN,10190,10358,10768,10925,11097,11212,NaN,11389,11547,12058,12222
2238.2,2414.5,2595.7,2763.2,2916.4,3066.8,3232.1,3393.2,3543,3703.8,3845.4,NaN,3982.5,4148.3,4272.4,NaN,4445.7,4531,NaN,4783.4,4938.8,5062.5,NaN,5235.1,5311.7,5506.1,5680.8,5821,NaN,5969.6,6128.1,6259.3,NaN,6430.9,6519.4,6707.6,6884.8,7049.2,7178.6,NaN,7417.6,7563.7,7698.5,NaN,7907.6,7998,8187,8361.3,8527.8,8696.2,NaN,8841,8999.1,9133.8,NaN,9306.9,9401.4,9597.9,9772.1,9881.2,NaN,10135,10298,10483,10833,11012,11180,NaN,11331,11498,11631,12127,12305
