n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l
3142.9,3294.3,3451.1,3604.9,3759.5,3922.6,4087.6,4244.9,4399.3,4553.5,4656.8,NaN,4833.6,4981.7,5186.2,NaN,5265.8,5438.2,5601.7,5750.6,5851.1,NaN,6025.1,6182.2,6392.5,NaN,6473.9,6647.8,NaN,6834.3,6974.3,7178.2,NaN,7255.2,7430.2,7593.1,7734.6,7914,8070.5,8181.5,NaN,8366.2,8513.6,8714.7,NaN,8789.2,8965.4,9117.3,9229.9,9412.4,NaN,9602.8,9749.7,9955.7,NaN,10034,10219,10378,10539,10643,NaN,10827,10971,11180,NaN,11259,11425,11605,11776,11879,NaN,12067
3178.6,3356.2,3530.7,3684.7,3841.4,4001.2,4173,4326.8,4485.4,4634.2,NaN,4781.1,4943.5,5070.4,NaN,5233,5321.2,5502.3,5684.2,5825.2,NaN,5971.1,6138.2,6267.7,NaN,6439.7,6523.2,NaN,6778.7,6932.6,7056.2,NaN,7222.4,7311.6,7494.7,7685.9,7857.9,7998,8153.4,NaN,8300.4,8446.8,8594.8,NaN,8762.9,8839.4,9031.8,9199.8,9287.9,NaN,9540.3,9693.9,9837.9,NaN,10004,10089,10280,10456,10619,NaN,10763,10923,11054,NaN,11229,11314,11493,11685,11853,NaN,12001,12166
