n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f
6086,6198.1,6384.1,6551.4,6694.5,6891.8,7065.1,7216.3,7372,7522.8,7627.9,NaN,7802.3,7954.7,8159.7,NaN,8237.8,8421.6,8579.7,8678.4,NaN,8861.9,9013.7,9218.9,NaN,9297.2,9477.8,9635.9,9796.1,9901.6,NaN,10086,10235,10438,NaN,10517,10689,10837,10982,11078,NaN,11256,11407,11614,NaN,11693,11866,12023,12182,12283,NaN,12463,12614,12822,NaN,12902,13063,13226,13388,13490,NaN,13673,13821,14060,NaN,14137,14317,14486,14648,14745,NaN,14929,15076,15321,15437,15543,15731,NaN,15919,16071,16295,NaN,16375,16668,16829,16967
6126.7,6294.5,6456.8,6627.8,6793.2,6969.4,7125,7299.8,7454.7,7599.2,NaN,7744.9,7903.6,8039.6,NaN,8205.8,8294,8487.5,8652.9,NaN,8796.9,8948.8,9092.5,NaN,9267.7,9351.2,9541.3,9726.8,9874.3,NaN,10020,10172,10316,NaN,10485,10568,10753,10920,11054,NaN,11195,11356,11493,NaN,11660,11741,11930,12101,12258,NaN,12402,12554,12697,NaN,12869,12957,13130,13309,13467,NaN,13611,13768,13901,NaN,14105,14188,14384,14564,14723,NaN,14865,15014,15160,15395,15510,15596,NaN,15858,16008,16158,NaN,16346,16432,16733,16910,17036
