n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,n,a,b,l,e,n,n,n,f,a,b,l,e,d,g,f
1964.6,2096.4,2292.5,2567.2,2728.9,2914.2,3120.3,3313.2,3471.2,3647.9,3821.4,3976.9,4144.5,4256.6,NaN,4441.7,4592.9,4798.3,NaN,4879.8,5065.5,5223.8,5333.4,NaN,5518.6,5672.5,5840.4,NaN,5961.4,6132.6,6295.5,6409.9,NaN,6591,6747.5,6958.9,NaN,7041.4,7229.3,7385.8,7548.6,7657.2,NaN,7838.2,7996.2,8206.2,NaN,8285,8463.4,8627.7,8790.8,8956.3,9066.5,NaN,9253.4,9406.2,9617.8,NaN,9701.6,9885.5,10056,10214,10315,NaN,10498,10660,10926,NaN,11007,11193,11363,11472,NaN,11662,11811,12026,NaN,12108,12234,12453,12617,12716,NaN,12903,13072,13544,13690,13852,13966,NaN,14156,14310,14734,14891,15060,15180,15372,NaN,15569,15740,15965,NaN,16048
2005.7,2163.4,2362.7,2672.1,2795.3,2977.5,3189,3355.5,3555.2,3729.4,3903,4061.9,4231.5,NaN,4379.7,4530.8,4677.6,NaN,4846.2,4933.2,5131.2,5306.8,NaN,5457.2,5619.9,5757,NaN,5926.9,6021.7,6199.9,6380.6,NaN,6534.9,6692.3,6832.4,NaN,7008.8,7094.3,7296.6,7470.8,7630.2,NaN,7774.5,7942.4,8083.6,NaN,8253.2,8339.7,8531,8709.5,8875.7,9041.3,NaN,9189.2,9348.3,9489.2,NaN,9667.1,9754,9955.2,10135,10290,NaN,10438,10594,10748,NaN,10975,11067,11264,11445,NaN,11595,11761,11897,NaN,12077,12164,12345,12533,12694,NaN,12848,13006,13162,13604,13776,13932,NaN,14088,14252,14390,14802,14974,15140,15261,NaN,15502,15666,15822,NaN,16013,16111
