n,n,n,n,n,n,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e,n,n,f,a,b
2417.7,2507.7,2567.4,2716.2,2868.1,3023.2,3132.9,NaN,3314.9,3465.2,3671.8,4156.4,4295.9,4473.4,4579.9,NaN,4756.2,4903.8,5115.8,NaN,5195.6,5369.1,5523.5,5628.3,NaN,5807.2,5962.5,6159.4,6281.8,6389.4,6573,NaN,6758.6,6902.2,7107.8,NaN,7184.8,7373.9,NaN,7552,7708.4,7919.7,NaN,8001.1,8181.1,8340,8457.3,8651.2,NaN,8836,8992.6,9200.8,NaN,9285.3,9457.4,9622.8,9748.4,9956.1,NaN,10140,10306,10519,NaN,10599,10789,11019,11138,11335,NaN,11525,11678,12139,12292,12454,12559,NaN,12744,12899,13106,13247,13363,13561,NaN
2464.2,2546.6,2624.9,2794.8,2947.7,3106.5,NaN,3249.2,3396.5,3546.1,3715.7,4207,4376.1,4552.3,NaN,4700,4834.5,4988.4,NaN,5165.2,5257.3,5435.2,5600.9,NaN,5749.5,5893.2,6044.8,6236.4,6354.8,6454,NaN,6694.1,6855.5,6987.4,NaN,7153.1,7250.6,NaN,7497.4,7659.4,7793.1,NaN,7966.7,8061,8243.3,8419.1,8527.3,NaN,8777.6,8943.8,9077,NaN,9250,9350.9,9523.9,9703.2,9817.6,NaN,10087,10245,10391,NaN,10568,10656,10852,11102,11210,NaN,11461,11622,11763,12207,12374,12530,NaN,12686,12843,12986,13179,13325,13437,NaN,13668
