n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,n,n,n,n,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l
1789.4,1968,2125.5,2321,2474.9,2635.4,2806.8,2978.6,3130.2,3286.6,3445.7,3607.2,3710.1,NaN,3885.6,4036.5,4242.9,NaN,4320.8,4497.6,4653.1,4813,4914.2,NaN,5099.8,5246.1,5451.2,NaN,5529.9,5709.9,5877,6036.6,6140.8,NaN,6317,6475.4,6683.9,NaN,6764.9,6941.7,7102.2,7237.5,7429.7,NaN,7612.8,7763.5,7972.6,NaN,8052.2,8235.2,8409.1,8543.4,8731.9,NaN,8928.7,9668,9816.9,9974.8,10116,10227,NaN,10401,10556,10764,NaN,10844,11024,11190,11326,11599,11812,11988,12095,NaN,12282
1828.4,2029.8,2196.1,2389.1,2544.2,2705.6,2875.3,3031.4,3234.8,3369,3534,3682.4,NaN,3831.3,3972.2,4125.8,NaN,4289.9,4375.7,4555.1,4734.7,4891.9,NaN,5037.3,5181.6,5329.7,NaN,5497.9,5586.2,5775.5,5958.4,6118.7,NaN,6260.1,6413.2,6557.4,NaN,6732.5,6821.2,7005,7184,7306.2,NaN,7562,7711.9,7849.8,NaN,8019.7,8154,8297.2,8495,8614,NaN,8858.7,8971.9,9724.6,9901.3,10057,10197,NaN,10344,10501,10644,NaN,10812,10901,11087,11273,11406,11703,11887,12073,NaN,12218,12347
