n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e
1992.7,2134,2287.6,2460.6,2637.7,2807.8,2974.6,3123.5,3282.5,3442.9,3604.8,3707.7,NaN,3891.8,4036.3,4240.6,NaN,4318.7,4506.7,4656.7,4764.4,NaN,4942,5096.6,5307.4,NaN,5385.2,5570.6,NaN,5758.8,5908.4,6113.9,NaN,6194,6369.2,6532.5,6685.5,6789.3,NaN,6976.7,7126.8,7339,NaN,7421.2,7587.7,7760.4,7908.6,8014.5,NaN,8200.3,8355.1
2048.9,2208,2356.9,2533.4,2712.2,2881.2,3029.2,3202.9,3364.8,3525.8,3683,NaN,3831.3,3988.4,4118.6,NaN,4285.2,4381.8,4575.1,4737.1,NaN,4881.7,5050.1,5183.9,NaN,5355.7,5439.3,NaN,5695.9,5855.9,5991.8,NaN,6163.6,6256.5,6433.8,6612.1,6764.3,NaN,6905.3,7078.2,7214.1,NaN,7389.1,7481,7658.5,7844.9,7987.1,NaN,8135.8,8296.8,8439.3
