n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f
5374,5545.2,5697.2,5855.9,6018.7,6179.6,6338.8,6504.1,6662.2,6822.4,6998.1,7099,NaN,7284.3,7441,7654.7,NaN,7720.2,8037.8,8181.8,8280.9,NaN,8464,8615.8,8823.3,NaN,8903.4,9086.2,9252,9356.9,NaN,9538.3,9708.1,10012,NaN,10088,10249,10410,10568,10719,10852,11031,NaN,11220,11366,11570,NaN,11649,11822,11976,12094,12288,NaN,12477,12634,12847,NaN,12925
5422.2,5593.5,5778.8,5938.6,6104.8,6262.2,6424.3,6588.2,6747.7,6908,7076.7,NaN,7223.2,7375.5,7525.5,NaN,7693.6,7801.5,8100.1,8260.6,NaN,8407.8,8563,8729.5,NaN,8872.3,8966.8,9154.1,9333.1,NaN,9476.1,9641.5,9784.9,NaN,10060,10170,10316,10489,10648,10802,10922,NaN,11160,11313,11445,NaN,11619,11708,11889,12056,12166,NaN,12414,12564,12719,NaN,12895,12980
