n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e
12015,12184,12342,12485,12660,12831,12978,13129,13294,13450,13555,NaN,13735,13879,14081,NaN,14162,14323,14485,14584,NaN,14765,14918,15121,NaN,15201,15379,15527,15680,15780,NaN,15965,16108,16312,NaN,16390,16559,NaN,16739,16888,17095,NaN,17174,17350,17512,17673,17774,NaN,17956,18103,18307,NaN,18386,18562,18713,18837,19014,NaN,19204,19352,19500,NaN,19639,19831,20031,20158,20351,NaN,20538,20684,20896,NaN,20976,21154,21332,21469,21659,NaN,21848,21991,22211,22331,22437,22650,NaN,22840,23012
12061,12245,12413,12572,12734,12887,13062,13218,13379,13532,NaN,13674,13817,13957,NaN,14130,14220,14389,14560,NaN,14703,14859,15001,NaN,15169,15257,15438,15607,15753,NaN,15896,16052,16193,NaN,16359,16444,NaN,16683,16830,16970,NaN,17142,17232,17407,17590,17749,NaN,17889,18030,18182,NaN,18354,18442,18620,18793,18901,NaN,19140,19288,19435,NaN,19614,19690,19873,20116,20229,NaN,20477,20627,20768,NaN,20945,21033,21218,21410,21537,NaN,21786,21933,22075,22288,22405,22501,NaN,22775,22930,23091
