n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b
3468.4,3614.2,3785.9,3963.4,4149.4,4320.4,4508.8,4685.2,4858.2,5032.8,5181.2,5351.5,5526.6,5689.2,5852.8,6025.2,6170.8,6346.2,NaN,6541.2,6694.8,6908.4,NaN,6993.5,7192.5,7358.4,7526.9,7632.2,NaN,7820.3,7978.5,8188.7,NaN,8252.7,8444.3,8610.5,8745.1,8930.7,NaN,9121.1,9273,9484.1,NaN,9564.9,9748.4,9921.2,10049,10239,NaN,10430,10591,10806,NaN,10891,11072,11244,11395,11529,11731,NaN,11921,12082,12301,NaN,12383,12594,12759,12883,13080,NaN
3500.3,3683.1,3858.2,4032.6,4218.5,4391.2,4575.2,4754.5,4926.6,5077.4,5262.3,5435.1,5608.5,5771,5933.8,6111.8,6241.1,NaN,6476.6,6629.5,6782.7,NaN,6955.2,7051.5,7260,7441.4,7604.9,NaN,7752,7909.3,8062.3,NaN,8237.9,8329.8,8513.6,8694.8,8815.7,NaN,9064.2,9226.7,9359.2,NaN,9535.4,9623.7,9813.8,10003,10119,NaN,10372,10536,10679,NaN,10855,10956,11131,11326,11476,11598,NaN,11861,12017,12174,NaN,12352,12446,12659,12837,12966,NaN,13213
