n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e
1989.4,2155.1,2249.3,2406,2595.9,3011.1,3172.2,3341.8,3512.4,3661.3,3820,3986.6,4149.3,4252.9,NaN,4426.6,4580.2,4787.9,NaN,4866.3,5041,5192.4,5298.8,NaN,5475.2,5630.8,5833.2,NaN,5922.3,6108.9,6281.8,6435.5,6539.7,NaN,6722.2,6876,7086.3,NaN,7167,7344.4,7504.8,7654.7,7765,NaN,7952.7,8104.3,8314.9,NaN,8393.3,8584.3,8743.8,8907.5,9008.5,NaN,9187.1,9349.6,9577.1,9712.2,9818,10026,NaN,10211,10369,10584,NaN,10666,10862,11024,11180,11289,NaN,11477,11639,11879,NaN,11971,12258,12451,12614,12716,NaN,12893,13066
2036,2225,2308.5,2477.9,2666.6,3080.5,3243.5,3421.5,3565.9,3745,3906.1,4074.7,4229,NaN,4374.8,4536.4,4666.1,NaN,4836.5,4921.8,5108.6,5275.1,NaN,5421.2,5585.2,5715.4,NaN,5894.2,5983.5,6178.6,6362,6511.9,NaN,6661.8,6830.2,6958.3,NaN,7134.1,7218.7,7415.4,7586.7,7737.8,NaN,7885.6,8054.8,8186.1,NaN,8361.6,8455.7,8652.4,8826.8,8984.7,NaN,9130.7,9298.5,9434.9,9652,9784.9,9878.2,NaN,10160,10324,10455,NaN,10635,10725,10929,11109,11261,NaN,11411,11575,11724,NaN,11932,12043,12323,12534,12690,NaN,12838,13001,13152
