n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,n,a,b,l,e
3150.1,3281,3467.4,3642.8,3816.2,3953.1,4108.8,4270.6,4424.4,4579.3,4691,NaN,4875,5018,5224.9,NaN,5301.4,5484.5,NaN,5668,5817.4,6020.8,NaN,6096.7,6267.3,NaN,6456.3,6604.3,6812,NaN,6889.8,7066.5,7228,7359.7,7553.1,NaN,7741.9,7887.2,8095.8,NaN,8172.4,8364.3,8516.2,8677.7,8777.4,NaN,8960.2,9111.4,9380.3,9549,9687.7,9793.8,NaN,9976.1,10126
3198.1,3362.6,3538.1,3712.4,3872.6,4038.1,4194.7,4352.3,4505.2,4664.4,NaN,4815.2,4968.4,5101.9,NaN,5276.6,5355.9,NaN,5612,5762.6,5904.9,NaN,6069.7,6153.7,NaN,6395.7,6546.9,6688.2,NaN,6857.7,6948,7138.3,7308.2,7444,NaN,7683.4,7835.8,7969.5,NaN,8144.4,8231.5,8419.5,8596.9,8754.8,NaN,8895.5,9063.2,9191.6,9448.6,9634.6,9770.9,NaN,9913.7,10075,10207
