n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e
1834.5,1984.2,2163.5,2327.9,2502.6,2631.4,2816.9,2975.7,3131,3290.7,3449.3,3601.6,3700.2,NaN,3881.8,4035.3,4240.8,NaN,4316.1,4494.2,4650.2,4756.6,NaN,4934.8,5085.5,5267.7,NaN,5373.7,5552.1,5706.4,5820.9,6016.9,NaN,6199.8,6350.5,6555.1,NaN,6634.1,6821.3,6980.6,7133.7,7238.7,NaN,7419.5,7562.6,7771.3,NaN,7849.1,8018.3,8201.9,8357,8460.5,NaN,8639.8,8794.6,9002.8,NaN,9051.1,9379.7,9530.4,9680.4,9785.4,NaN,9970.5,10117,10388,NaN,10464,10642,10805,10936,11125,NaN,11306,11463,11671,NaN,11749,11920,12100,12269,12375,NaN,12557,12717
1866.3,2043.5,2236,2404,2565.8,2779,2897.9,3064.2,3216.9,3372,3533.9,3675.8,NaN,3817.4,3968.1,4116,NaN,4289.6,4371.5,4558.2,4725.3,NaN,4874.6,5026.4,5168.7,NaN,5340.5,5423.6,5616.9,5789.9,5880.8,NaN,6145.8,6303.8,6435.2,NaN,6603.9,6691.3,6886.3,7062.9,7215.7,NaN,7358.8,7514.3,7655.7,NaN,7818.6,7898.6,8083.6,8282.2,8436.8,NaN,8583.2,8745.2,8882.2,NaN,9038.8,9111.4,9445.1,9614.6,9762.1,NaN,9907.1,10064,10200,NaN,10434,10520,10713,10889,11008,NaN,11252,11408,11550,NaN,11722,11804,11995,12185,12351,NaN,12499,12650,12802
