n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,f,a,b,l,e
4023.2,4211,4395.2,4551.7,4707.6,4860.4,5011.8,5170.5,5318.2,5418.2,NaN,5596,5743.7,5946.1,NaN,6021.8,6206.5,NaN,6392.2,6536.5,6725.8,NaN,6814.2,6998.2,NaN,7183.7,7332.7,7535.3,NaN,7611.7,7786.4,7943.8,8045.4,NaN,8226.2,8372.8,8576.5,NaN,8654.9,8835.4,8982.8,9135.9,9236.6,NaN,9421.9,9571.4,9781,NaN,9860.6,10032,10184,10344,10445,NaN,10625,10776,11116,11267,11399,11580,NaN,11766,11913,12126,NaN,12202,12527,12672,12835,13015,13158,13365,NaN,13572,13733
4065.1,4250.9,4455.7,4632.8,4788.2,4939.4,5092.2,5249.9,5392,NaN,5538.5,5690.4,5827.8,NaN,5992.8,6085.5,NaN,6335.5,6481.8,6616.1,NaN,6783.2,6872.7,NaN,7125.8,7277.2,7415.8,NaN,7583.3,7670.4,7849.3,8015.9,NaN,8164.3,8311,8455.1,NaN,8625.4,8703.4,8897,9061.4,9211.2,NaN,9359.5,9511.5,9654.8,NaN,9828.3,9915.6,10086,10263,10419,NaN,10561,10704,10859,11180,11349,11477,NaN,11706,11850,12001,NaN,12171,12262,12596,12756,12916,13095,13235,NaN,13519,13664,13818
