n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b
3091.7,3238.1,3424.9,3608.6,3773.1,3941.5,4093.8,4254.8,4421.3,4582.7,4737.8,4888.5,4996.6,NaN,5174.5,5331.8,5539.3,NaN,5620.1,5808.3,5970.2,6075.9,NaN,6256.3,6413.2,6618,NaN,6702.2,6874.3,7028.2,7178.1,7278.2,NaN,7453.8,7607,7812.5,NaN,7893.4,8062.3,8215.6,8360.4,8466.9,NaN,8649.2,8803.1,9011.3,NaN,9088.7,9269.1,9426.1,9586.9,9694.1,NaN,9881.8,10030,10256,NaN,10336,10534,10695,10825,11008,NaN,11193,11355,11572,NaN,11654,11874,12023,12185,12287,NaN,12469,12640,14168,14323,14488,14644,14747,NaN,14927,15081,15291,NaN,15369,15560,NaN
3174.4,3303.1,3492.8,3678.9,3843.8,3995.8,4174.6,4336.6,4502.1,4662.9,4820.4,4969.4,NaN,5118.7,5267,5414.7,NaN,5586.6,5672.1,5874.4,6048.6,NaN,6193.5,6352.1,6499.7,NaN,6667.2,6755.6,6944.1,7115.2,7259.4,NaN,7396,7547.3,7686.9,NaN,7861,7949.9,8126.7,8299.1,8444.6,NaN,8594.6,8745,8888.2,NaN,9058.8,9149.3,9334.5,9508.4,9666.6,NaN,9815.8,9972.1,10112,NaN,10305,10394,10596,10775,10894,NaN,11132,11288,11437,NaN,11616,11711,11931,12105,12261,NaN,12414,12576,12717,14241,14399,14569,14720,NaN,14866,15024,15163,NaN,15339,15428,NaN,15684
